sex,x,n,nLx,lx,ndx,nqx,npx,nmx,Tx,ex
male,0,1,98006,100000,1584,0.0158,0.9842,0.0162,7101496,71.0
male,1,4,390225,98416,1148,0.0117,0.9883,0.0029,7003490,71.2
male,5,5,486438,97268,203,0.0021,0.9979,0.0004,6613266,68.0
male,10,5,485465,97065,296,0.0031,0.9969,0.0006,6126827,63.1
male,15,5,484066,96769,449,0.0046,0.9954,0.0009,5641362,58.3
male,20,5,481856,96320,513,0.0053,0.9947,0.0011,5157296,53.5
male,25,5,479303,95807,547,0.0057,0.9943,0.0011,4675440,48.8
male,30,5,476624,95260,678,0.0071,0.9929,0.0014,4196138,44.0
male,35,5,473373,94582,984,0.0104,0.9896,0.0021,3719513,39.3
male,40,5,468738,93598,1598,0.0171,0.9829,0.0034,3246140,34.7
male,45,5,461235,91999,2634,0.0286,0.9714,0.0057,2777402,30.2
male,50,5,448847,89366,4260,0.0477,0.9523,0.0095,2316168,25.9
male,55,5,428657,85105,6549,0.0769,0.9231,0.0153,1867321,21.9
male,60,5,397361,78557,9505,0.121,0.879,0.0239,1438664,18.3
male,65,5,351580,69052,12991,0.1881,0.8119,0.037,1041303,15.1
male,70,5,288360,56060,16192,0.2888,0.7112,0.0562,689723,12.3
male,75,5,207775,39869,16570,0.4156,0.5844,0.0797,401362,10.1
male,80+,,193587,23299,23299,1.0,0.0,0.1204,193587,8.3
female,0,1,98907,100000,1200,0.012,0.988,0.0121,7632928,76.3
female,1,4,394790,98800,223,0.0023,0.9977,0.0006,7534021,76.3
female,5,5,492921,98576,81,0.0008,0.9992,0.0002,7139231,72.4
female,10,5,492530,98496,108,0.0011,0.9989,0.0002,6646310,67.5
female,15,5,492016,98387,164,0.0017,0.9983,0.0003,6153780,62.5
female,20,5,491226,98224,221,0.0022,0.9978,0.0004,5661764,57.6
female,25,5,490152,98003,286,0.0029,0.9971,0.0006,5170538,52.8
female,30,5,488777,97717,399,0.0041,0.9959,0.0008,4680386,47.9
female,35,5,486878,97318,610,0.0063,0.9937,0.0013,4191609,43.1
female,40,5,484013,96708,1002,0.0104,0.9896,0.0021,3704732,38.3
female,45,5,479296,95706,1617,0.0169,0.9831,0.0034,3220719,33.7
female,50,5,471650,94089,2549,0.0271,0.9729,0.0054,2741423,29.1
female,55,5,459606,91540,4055,0.0443,0.9557,0.0088,2269773,24.8
female,60,5,440551,87485,6637,0.0759,0.9241,0.0151,1810167,20.7
female,65,5,409306,80848,10658,0.1318,0.8682,0.026,1369616,16.9
female,70,5,358648,70190,15729,0.2241,0.7759,0.0439,960310,13.7
female,75,5,281667,54461,18707,0.3435,0.6565,0.0664,601662,11.0
female,80+,,319994,35754,35754,1.0,0.0,0.1117,319994,8.9
