age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,6973.79,6729.52,6488.79,6253.66,6026.41,5809.65,5618.97,5526.04,5575.34,5448.27,5415.61,5375.09,5359.61,5871.32,5562.47,5537.29,5431.46,5909.13,5370.39,5461.87,4565.85,4340.8,4261.5,4180.88,4096.7,4017.68,3931.96,3850.68,3772.21,3683.45,3597.41,3497.35,3385.12,3267.82,3145.69,3008.19,2872.51,2729.56,2589.75,2456.25,2324.45,2204.44,2101.83,1979.93,1893.9,1805.13,1727.81,1659.08,1601.79,1552.59,1512.31,1478.45,1448.33,1423.6,1402.0,1385.01,1368.89,1354.0,1342.79,1328.97,1317.77,1307.55,1297.07,1284.4,1272.0,1260.13,1246.13,1232.98,1219.66
1,1530.98,1439.67,1352.94,1282.48,1206.98,1140.92,1094.48,1109.56,1212.45,1193.52,1223.72,1235.63,1258.75,1656.13,1467.33,1476.47,1433.9,1801.83,1456.06,1562.08,973.59,870.2,870.6,876.49,887.08,880.12,865.45,847.27,831.01,806.48,783.67,752.54,721.32,685.38,646.68,600.03,558.75,512.95,471.26,432.83,402.11,380.36,364.06,330.52,312.16,293.08,274.76,258.87,244.62,232.08,223.63,216.99,210.18,205.04,200.13,195.84,192.35,189.66,188.03,184.74,182.13,180.59,179.49,176.71,173.76,172.53,169.44,166.63,164.57
2,1212.32,1140.54,1075.45,1018.27,960.88,905.51,866.84,869.14,932.38,908.42,923.72,924.57,935.08,1193.19,1059.35,1056.21,1020.47,1258.38,1019.91,1081.49,672.51,585.54,570.03,554.12,538.67,523.23,506.46,491.9,480.5,464.03,450.34,431.96,413.31,393.91,376.79,354.18,334.79,314.17,294.47,275.57,256.38,244.17,235.87,214.34,202.11,192.47,182.55,173.96,166.47,161.53,156.77,153.28,149.33,146.64,144.08,141.26,139.35,137.98,136.89,135.09,133.38,132.38,131.74,130.12,128.24,127.67,125.68,123.88,122.67
3,966.4,909.66,860.44,813.81,769.92,723.47,691.92,691.11,738.23,716.32,722.31,718.69,723.69,915.19,807.83,799.14,766.73,943.34,756.81,798.17,476.3,399.3,378.89,356.52,333.68,318.07,303.06,292.21,284.78,273.42,265.49,254.23,242.52,231.8,225.02,213.71,205.08,196.28,187.47,178.74,166.46,159.93,157.03,141.39,133.79,128.87,123.42,118.63,114.88,113.88,111.42,109.84,107.52,106.24,104.91,103.12,102.05,101.35,100.76,99.67,98.57,98.02,97.74,96.72,95.49,95.36,94.0,92.88,92.18
4,774.87,729.82,692.28,654.2,620.38,581.53,555.93,554.62,592.79,575.48,574.79,569.46,571.79,722.64,633.08,622.41,593.33,732.95,580.34,610.78,346.25,279.01,258.89,236.8,214.41,201.24,188.97,181.1,176.45,168.33,163.83,156.54,148.76,142.56,140.51,134.37,130.78,127.27,123.6,119.84,111.7,108.39,108.73,96.27,91.49,88.96,85.87,83.11,81.33,82.18,81.02,80.52,79.11,78.6,77.95,76.76,76.17,75.83,75.56,74.85,74.15,73.88,73.83,73.14,72.32,72.46,71.45,70.76,70.36
5,625.5,589.59,560.63,529.54,503.22,470.88,450.12,449.02,480.87,468.76,463.31,457.62,458.63,580.75,505.45,494.71,469.29,582.79,456.22,479.93,259.76,202.18,184.32,164.89,145.48,135.05,125.27,119.53,116.68,110.6,108.07,102.99,97.48,93.64,93.66,89.84,88.5,87.25,85.89,84.38,78.71,77.16,79.31,68.7,65.48,64.15,62.32,60.63,59.83,61.43,60.94,61.02,60.08,59.98,59.7,58.84,58.51,58.36,58.27,57.78,57.31,57.21,57.28,56.79,56.2,56.49,55.7,55.26,55.03
6,509.67,480.89,458.22,432.82,412.07,385.26,368.42,367.83,395.02,387.69,379.29,374.02,374.5,475.73,412.07,402.27,380.39,474.79,368.61,388.0,202.72,153.77,138.58,122.17,106.0,97.8,89.94,85.61,83.88,79.05,77.63,73.79,69.58,66.97,67.86,65.06,64.68,64.34,63.94,63.39,59.17,58.55,61.66,52.16,49.79,49.03,47.83,46.69,46.35,48.15,47.98,48.32,47.62,47.72,47.62,46.94,46.74,46.69,46.69,46.32,45.98,45.97,46.09,45.71,45.26,45.63,44.96,44.66,44.52
7,420.58,397.33,379.23,358.45,341.79,319.64,305.92,305.74,328.93,325.08,315.53,310.97,311.27,395.94,342.31,333.81,315.26,394.35,305.16,321.33,165.26,123.9,111.13,97.4,83.94,77.36,70.85,67.42,66.34,62.28,61.44,58.28,54.85,52.87,54.05,51.7,51.68,51.65,51.59,51.39,48.01,47.81,51.29,42.57,40.63,40.13,39.22,38.35,38.19,39.94,39.9,40.33,39.74,39.91,39.9,39.31,39.17,39.15,39.18,38.89,38.62,38.64,38.77,38.46,38.09,38.47,37.87,37.64,37.55
8,353.18,334.15,319.36,302.24,288.57,270.18,258.83,258.53,277.45,275.85,266.0,262.05,262.12,331.31,287.12,279.94,264.54,329.2,255.87,268.92,140.33,105.97,95.19,83.57,72.2,66.69,61.15,58.27,57.49,53.96,53.34,50.59,47.62,45.94,47.11,45.01,45.05,45.1,45.09,44.96,42.05,41.95,45.31,37.35,35.6,35.2,34.4,33.64,33.53,35.14,35.12,35.53,35.0,35.18,35.18,34.65,34.53,34.53,34.55,34.3,34.06,34.08,34.2,33.93,33.6,33.96,33.41,33.22,33.13
9,303.58,287.71,275.27,260.97,249.44,234.01,224.39,223.51,237.98,238.03,227.91,224.36,224.1,278.72,243.28,237.26,224.69,275.73,217.09,227.05,124.08,96.05,86.84,76.85,67.06,62.25,57.38,54.82,54.13,50.98,50.35,47.83,45.13,43.57,44.54,42.6,42.56,42.57,42.46,42.27,39.59,39.39,42.24,35.06,33.37,32.97,32.18,31.45,31.31,32.76,32.69,33.03,32.53,32.67,32.66,32.16,32.04,32.03,32.04,31.81,31.58,31.58,31.67,31.42,31.11,31.42,30.92,30.72,30.64
