age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,8857.68,8590.56,8323.21,8058.96,7801.86,7559.4,7345.99,7242.17,7293.46,7144.66,7115.91,7073.01,7059.96,7625.83,7290.56,7237.87,7112.85,7624.58,7020.74,7107.58,6113.14,5853.77,5753.49,5650.92,5544.7,5443.82,5336.79,5234.88,5136.61,5029.41,4924.94,4805.57,4670.96,4527.44,4375.06,4204.22,4031.25,3847.42,3664.64,3487.77,3313.42,3152.32,3009.81,2850.72,2729.89,2613.83,2511.48,2420.06,2342.31,2274.81,2218.38,2170.22,2127.48,2091.36,2059.4,2033.07,2008.51,1985.9,1967.09,1946.17,1927.49,1909.44,1891.12,1870.45,1850.13,1830.29,1808.23,1786.95,1765.63
1,1916.87,1794.47,1680.09,1571.9,1471.32,1381.17,1305.53,1304.88,1399.54,1355.88,1377.72,1380.17,1393.3,1784.85,1585.15,1574.74,1519.55,1880.03,1512.66,1604.04,990.61,859.72,839.38,820.7,798.58,778.24,762.54,752.99,742.39,725.31,700.54,673.77,648.54,630.86,595.49,546.41,508.56,471.87,439.63,415.38,385.67,360.25,342.48,305.2,285.81,262.06,243.25,224.17,210.28,198.61,191.65,186.0,180.01,175.31,171.09,168.21,164.65,161.83,160.58,157.53,155.55,154.57,153.31,151.12,149.47,148.9,146.92,145.65,144.19
2,1479.83,1399.5,1324.05,1251.92,1184.09,1122.24,1069.84,1061.43,1111.52,1079.63,1086.97,1085.42,1089.92,1321.37,1199.92,1190.44,1154.27,1366.67,1144.29,1194.95,823.39,738.19,719.94,701.52,681.88,663.87,645.86,629.88,615.12,596.78,578.79,557.89,535.77,513.09,489.22,459.03,432.05,404.38,378.39,354.62,331.14,310.73,296.68,269.62,255.05,239.69,226.62,214.34,204.55,196.3,190.05,185.15,180.08,176.21,172.81,169.85,166.6,164.25,162.55,160.24,158.34,157.23,155.65,153.6,151.65,150.44,148.17,146.38,144.51
3,1152.43,1100.43,1051.34,1004.05,959.12,917.37,882.85,877.53,914.82,894.62,896.42,895.78,898.59,1065.4,976.92,969.57,941.69,1094.86,933.9,969.21,698.53,633.42,617.09,599.53,581.93,566.53,546.89,527.06,510.5,491.62,479.28,462.86,442.95,417.9,402.83,385.78,367.45,346.41,325.57,303.23,284.62,268.74,259.11,238.05,229.18,219.95,211.32,204.4,198.32,193.26,188.08,184.13,179.88,176.72,173.82,171.04,167.92,165.73,163.98,161.95,160.23,159.2,157.52,155.34,153.03,151.27,148.57,146.32,144.03
4,904.44,871.13,839.58,809.04,779.79,752.03,730.21,728.79,760.55,750.31,748.38,749.15,751.71,881.73,812.64,807.22,784.49,904.1,779.3,806.4,594.66,541.95,527.44,511.08,495.37,482.37,462.18,440.59,423.69,405.13,397.0,384.03,366.17,340.77,331.94,323.77,311.86,295.86,279.22,258.7,243.96,231.84,226.01,209.16,205.02,200.49,195.43,192.87,190.02,187.83,183.75,180.79,177.32,174.84,172.38,169.84,166.84,164.8,163.09,161.26,159.75,158.87,157.16,154.85,152.21,150.02,146.93,144.31,141.68
5,716.18,694.83,674.58,654.97,636.07,617.73,604.41,605.66,633.39,630.76,625.83,627.59,630.07,734.03,678.83,674.88,656.07,751.92,652.9,674.36,504.88,461.5,448.74,433.82,419.95,409.03,389.34,367.68,351.45,333.93,328.76,318.43,302.63,278.35,273.67,271.08,263.66,251.5,238.23,219.78,208.12,198.96,196.05,182.37,181.58,180.48,178.14,178.91,178.63,178.8,175.74,173.68,170.94,169.1,167.07,164.8,161.98,160.1,158.48,156.85,155.57,154.85,153.18,150.81,147.99,145.51,142.17,139.34,136.5
6,574.01,560.01,546.72,533.91,521.52,509.21,501.23,504.2,528.97,531.3,524.67,527.03,529.53,615.51,570.04,567.17,551.35,630.76,549.66,567.41,427.41,390.98,379.89,366.6,354.51,345.39,327.03,306.56,291.72,275.75,272.54,264.21,250.43,228.27,226.15,226.63,222.15,212.8,202.2,185.98,176.72,169.84,169.03,157.64,158.91,159.98,159.48,162.38,163.86,165.65,163.45,162.14,160.02,158.71,157.09,155.1,152.52,150.83,149.35,147.93,146.86,146.3,144.74,142.45,139.61,137.07,133.7,130.84,127.99
7,467.46,457.73,448.49,439.64,431.07,422.39,417.47,421.4,443.88,448.25,441.76,444.4,446.92,520.6,481.9,479.78,466.27,534.4,465.58,480.95,361.35,330.13,320.61,309.02,298.62,291.02,274.56,256.12,243.06,228.91,226.9,220.08,208.23,188.7,187.99,189.78,187.02,179.68,171.16,157.2,149.78,144.56,145.1,135.37,137.59,139.71,140.22,144.09,146.45,149.06,147.49,146.71,145.07,144.16,142.88,141.16,138.87,137.4,136.1,134.89,134.01,133.58,132.2,130.11,127.46,125.07,121.9,119.22,116.56
8,388.74,381.37,374.39,367.72,361.28,354.66,351.31,355.43,375.52,379.79,374.56,377.15,379.56,443.33,410.03,408.38,396.79,455.8,396.63,410.09,306.79,279.88,271.75,261.79,252.91,246.53,232.18,216.07,204.83,192.54,191.18,185.5,175.4,158.56,158.47,160.55,158.68,152.75,145.79,133.93,127.88,123.78,124.94,116.55,118.97,121.36,122.25,126.22,128.77,131.53,130.37,129.89,128.59,127.94,126.92,125.45,123.47,122.21,121.09,120.07,119.34,119.02,117.85,116.03,113.7,111.61,108.79,106.43,104.08
9,331.94,325.81,320.02,314.49,309.14,303.65,300.95,304.68,322.15,325.52,321.56,323.87,326.01,380.94,352.33,350.95,341.03,391.85,341.01,352.66,263.67,240.52,233.58,225.05,217.47,212.04,199.71,185.87,176.24,165.68,164.61,159.79,151.18,136.76,136.8,138.69,137.2,132.23,126.39,116.35,111.27,107.88,109.08,101.87,104.08,106.27,107.14,110.69,113.01,115.5,114.56,114.21,113.14,112.62,111.77,110.53,108.83,107.75,106.81,105.94,105.33,105.08,104.11,102.58,100.62,98.86,96.47,94.48,92.49
