age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,7938.86,7682.28,7427.05,7178.68,6936.63,6707.09,6507.22,6404.81,6456.8,6319.3,6288.77,6247.14,6232.61,6770.83,6449.16,6409.76,6294.03,6788.47,6216.99,6306.72,5360.61,5118.15,5028.08,4936.36,4841.0,4750.93,4654.21,4562.36,4473.86,4375.83,4280.64,4170.64,4046.83,3915.6,3777.8,3623.34,3468.62,3304.95,3143.07,2987.42,2833.85,2692.78,2569.74,2428.89,2325.24,2223.21,2135.88,2052.54,1979.59,1926.68,1875.82,1839.69,1806.03,1776.18,1746.88,1725.96,1706.39,1688.01,1674.73,1655.29,1640.75,1625.81,1610.73,1596.77,1576.14,1561.29,1543.01,1524.59,1506.68
1,1729.97,1622.65,1521.67,1431.72,1343.28,1264.8,1203.29,1210.32,1308.96,1277.26,1303.17,1310.2,1328.17,1722.6,1528.13,1527.2,1478.12,1842.24,1485.29,1583.77,982.38,864.82,854.53,847.76,841.49,827.62,812.42,798.68,785.34,764.64,740.82,711.93,683.8,657.29,620.31,572.42,532.9,491.79,454.97,423.84,393.64,370.0,352.94,317.47,298.58,277.08,258.46,240.84,226.8,214.89,207.17,200.97,194.51,189.47,184.92,181.36,177.78,174.98,173.52,170.31,168.03,166.82,165.76,163.39,161.19,160.18,157.55,155.54,153.82
2,1350.22,1274.05,1203.63,1138.71,1075.94,1017.21,971.46,968.3,1024.76,996.69,1007.91,1007.53,1014.95,1259.37,1131.87,1125.43,1089.48,1314.28,1084.05,1140.0,750.24,664.19,647.28,630.08,612.46,595.71,578.32,563.03,549.9,532.47,516.56,496.89,476.46,455.36,434.74,408.2,384.89,360.63,337.69,316.29,294.89,278.45,267.19,242.82,229.39,216.81,205.28,194.83,186.27,179.59,173.85,169.67,165.2,161.97,159.07,156.23,153.63,151.79,150.42,148.38,146.63,145.56,144.25,142.29,140.31,139.43,137.42,135.76,134.21
3,1062.26,1007.96,958.82,911.83,867.4,823.37,790.26,787.19,829.27,808.23,812.06,810.0,813.89,992.71,895.06,887.01,856.92,1021.5,848.1,886.32,590.76,519.86,501.57,481.71,461.56,446.06,428.69,413.25,401.12,385.89,375.68,361.78,345.85,327.75,316.68,302.37,288.71,273.59,258.59,242.85,227.31,215.96,209.59,191.17,182.92,175.79,168.72,162.88,158.01,155.12,151.22,147.96,144.72,142.61,140.66,138.58,136.53,135.09,133.98,132.5,131.16,130.48,129.05,127.11,125.13,124.2,122.2,120.8,119.55
4,841.6,802.61,768.15,733.94,702.46,669.34,645.66,644.33,679.23,665.57,664.25,662.08,664.54,804.71,725.7,717.71,691.86,821.18,682.88,711.59,474.19,414.39,397.14,378.02,359.1,346.02,329.69,314.78,303.85,290.37,284.0,273.79,260.81,244.73,239.19,231.98,224.05,214.08,203.72,191.33,179.79,171.94,169.1,154.38,149.94,146.39,142.3,139.68,137.4,136.78,134.39,132.57,129.48,128.06,126.68,125.05,123.51,122.41,121.42,120.27,119.28,118.79,117.43,115.47,113.44,112.41,110.38,108.77,107.62
5,672.19,643.77,619.3,594.1,571.6,546.47,529.53,529.67,559.41,552.19,547.04,545.21,546.99,659.79,594.87,587.62,565.58,669.96,557.55,580.11,386.04,335.71,320.43,303.31,286.76,276.11,261.24,247.31,237.6,225.66,221.78,214.0,203.18,188.82,186.42,183.24,178.74,171.83,164.3,154.06,145.31,139.84,139.39,127.2,125.24,124.03,121.95,121.54,121.05,121.96,120.27,119.54,117.38,115.92,114.86,113.52,112.19,111.47,110.73,109.69,108.95,108.68,107.34,105.42,103.35,102.3,100.25,98.63,97.14
6,542.59,521.61,503.76,484.83,468.37,449.04,436.74,438.02,463.96,461.61,454.16,452.85,454.38,547.78,493.52,487.29,468.53,555.2,461.9,480.41,318.47,275.95,262.8,247.97,233.87,225.22,211.98,199.35,190.88,180.34,178.03,171.89,162.74,150.06,149.4,148.3,145.8,140.79,135.11,126.46,119.65,115.8,116.89,106.43,105.94,106.12,105.29,106.24,106.87,108.69,107.53,107.13,105.76,104.83,103.71,102.5,101.32,100.71,100.27,99.51,98.83,98.7,97.55,95.7,93.66,92.6,90.62,89.05,87.57
7,444.22,428.23,414.87,400.2,387.71,372.48,363.28,365.24,388.07,388.46,380.5,379.68,381.16,460.18,414.27,409.05,393.11,466.55,387.85,403.56,266.28,230.13,219.01,206.32,194.4,187.28,175.65,164.51,157.27,148.03,146.62,141.61,133.84,122.81,123.02,122.81,121.38,117.57,113.14,105.82,100.35,97.56,99.53,90.29,90.5,91.36,91.18,92.76,93.92,96.12,95.33,95.18,94.04,93.62,92.65,91.49,90.38,89.84,89.45,89.0,88.55,88.38,87.38,85.81,83.93,82.89,81.03,79.62,78.24
8,371.0,357.98,347.51,335.91,325.94,313.62,306.37,308.36,327.89,329.31,321.85,321.3,322.6,389.02,350.47,346.13,332.71,394.46,328.43,341.66,226.1,195.55,186.12,175.33,165.19,159.21,149.1,139.41,133.27,125.24,124.26,120.02,113.4,103.91,104.43,104.49,103.55,100.51,96.91,90.73,86.19,84.01,86.24,78.06,78.47,79.51,79.58,81.26,82.54,84.75,84.15,84.13,83.19,82.9,82.25,81.16,80.09,79.56,79.2,78.78,78.57,78.53,77.6,76.25,74.68,73.79,72.07,70.82,69.64
9,317.82,306.84,297.86,288.34,280.13,269.8,263.73,265.24,281.25,283.02,276.08,275.57,276.55,331.36,299.47,295.85,284.64,335.58,280.96,291.79,196.03,170.48,162.41,153.16,144.49,139.31,130.56,122.18,116.89,109.95,109.11,105.42,99.69,91.51,92.01,92.05,91.26,88.7,85.64,80.37,76.45,74.59,76.59,69.39,69.72,70.65,70.72,72.2,73.34,75.33,74.82,74.81,74.02,73.78,73.29,72.37,71.36,70.82,70.43,70.05,69.83,69.94,69.23,68.02,66.69,66.01,64.54,63.42,62.4
