age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,94833.914,94965.55,95098.779,95232.27,95364.439,95493.394,95609.161,95666.374,95635.958,95714.654,95735.034,95760.414,95770.132,95456.417,95643.884,95659.424,95725.137,95433.861,95763.365,95706.186,96287.853,96441.518,96496.383,96552.559,96611.627,96667.454,96728.446,96786.683,96843.287,96907.754,96970.701,97044.461,97127.907,97215.931,97308.455,97413.696,97518.651,97630.433,97740.942,97847.554,97953.868,98051.565,98135.789,98236.672,98308.401,98382.879,98448.142,98506.453,98555.273,98597.351,98631.917,98661.049,98687.014,98708.378,98727.068,98741.792,98755.766,98768.703,98778.446,98790.464,98800.216,98809.12,98818.253,98829.308,98840.142,98850.513,98862.762,98874.276,98885.951
1,92260.722,92550.647,92834.737,93105.1,93370.099,93619.891,93833.783,93919.176,93818.433,93954.974,93972.527,94007.098,94011.012,93300.614,93703.86,93724.478,93851.591,93189.957,93901.585,93757.09,94947.358,95224.1,95303.195,95380.879,95459.767,95542.257,95635.314,95725.679,95812.285,95913.305,96010.758,96126.381,96254.221,96389.489,96530.97,96691.794,96848.111,97013.963,97174.62,97327.333,97474.499,97605.374,97716.136,97854.809,97950.018,98048.325,98134.811,98211.489,98275.902,98331.364,98375.877,98413.055,98446.575,98473.881,98497.934,98517.073,98534.931,98551.176,98563.197,98578.66,98591.168,98602.16,98613.181,98627.242,98641.122,98653.601,98669.151,98683.706,98698.058
2,90889.07,91260.541,91620.542,91954.728,92286.165,92596.678,92853.12,92929.824,92746.016,92904.007,92898.806,92926.997,92914.098,91875.955,92440.517,92458.139,92624.405,91659.856,92663.602,92435.301,94124.31,94496.228,94582.883,94665.574,94746.894,94840.58,94949.361,95056.093,95156.53,95278.05,95393.756,95534.132,95686.906,95849.841,96019.238,96214.688,96401.34,96600.4,96791.755,96973.137,97145.256,97293.107,97416.173,97582.379,97692.884,97805.548,97906.154,97995.076,98070.355,98134.556,98185.678,98227.918,98266.82,98298.04,98325.829,98348.52,98369.082,98387.357,98400.735,98418.744,98433.414,98445.675,98457.565,98473.826,98490.119,98503.501,98521.591,98538.451,98554.438
3,89799.711,90235.438,90652.595,91038.687,91420.765,91782.188,92073.738,92149.698,91910.707,92091.636,92075.792,92105.366,92084.713,90821.763,91506.926,91530.465,91730.805,90558.996,91775.241,91495.471,93549.904,94003.806,94108.424,94210.252,94310.716,94419.929,94544.605,94664.037,94773.889,94909.327,95035.845,95191.034,95358.989,95536.986,95718.335,95930.744,96131.401,96345.177,96550.789,96745.984,96933.838,97091.055,97219.725,97404.516,97524.938,97644.877,97753.17,97848.781,97929.676,97996.848,98051.582,98096.361,98138.394,98171.599,98201.335,98226.331,98248.384,98267.689,98281.911,98301.364,98317.439,98330.473,98342.826,98360.408,98378.25,98391.986,98411.753,98430.071,98447.012
4,88929.076,89415.696,89876.236,90304.681,90725.619,91129.685,91449.815,91526.831,91245.194,91445.737,91427.241,91461.29,91436.973,90002.847,90786.474,90819.692,91050.771,89720.851,91106.664,90791.0,93138.625,93664.647,93789.534,93913.59,94036.669,94160.274,94298.592,94427.383,94543.278,94688.451,94821.189,94985.647,95163.351,95349.807,95535.57,95756.702,95963.469,96183.403,96395.253,96596.694,96794.759,96956.897,97086.848,97285.689,97412.302,97535.963,97648.525,97747.906,97831.571,97898.816,97955.364,98001.181,98045.076,98079.18,98109.903,98136.391,98159.274,98179.096,98193.752,98214.104,98231.079,98244.522,98257.044,98275.476,98294.345,98308.077,98329.027,98348.255,98365.742
5,88228.889,88755.992,89249.779,89712.814,90163.822,90603.477,90946.792,91025.009,90708.362,90923.621,90908.19,90947.748,90921.764,89351.155,90217.212,90261.132,90519.461,89062.984,90588.386,90245.645,92835.616,93424.049,93567.93,93712.747,93856.723,93992.132,94141.47,94277.072,94396.715,94548.987,94685.241,94855.881,95040.234,95231.709,95418.484,95644.597,95853.832,96076.141,96290.507,96494.584,96699.558,96864.125,96992.828,97203.207,97333.816,97459.408,97574.429,97676.034,97760.992,97827.009,97884.383,97930.412,97975.484,98009.89,98041.078,98068.588,98091.934,98111.999,98126.836,98147.786,98165.349,98178.976,98191.493,98210.51,98230.086,98243.603,98265.45,98285.249,98303.044
6,87661.302,88220.757,88740.353,89231.636,89706.179,90175.405,90537.52,90616.58,90270.417,90495.401,90486.891,90531.927,90505.2,88822.916,89758.45,89812.641,90094.623,88534.194,90175.971,89811.678,92604.376,93246.073,93406.483,93569.216,93730.983,93875.708,94033.863,94174.505,94296.432,94454.165,94592.392,94767.489,94956.705,95151.404,95337.722,95567.148,95777.243,96000.346,96215.594,96420.698,96630.618,96796.272,96922.344,97142.777,97276.18,97402.813,97519.356,97622.375,97707.903,97772.22,97829.919,97875.742,97921.638,97956.04,97987.42,98015.694,98039.307,98059.474,98074.358,98095.732,98113.702,98127.388,98139.812,98159.259,98179.355,98192.542,98215.121,98235.292,98253.266
7,87196.179,87781.651,88321.628,88835.999,89329.249,89822.956,90200.35,90279.793,89908.443,90139.018,90139.483,90189.432,90162.315,88387.083,89381.26,89444.603,89746.798,88099.622,89839.084,89457.014,92420.387,93107.238,93281.629,93459.432,93636.015,93788.128,93953.468,94097.992,94221.322,94383.501,94522.858,94701.452,94894.491,95091.482,95276.765,95508.766,95719.062,95942.354,96157.833,96363.308,96577.027,96743.093,96865.87,97095.41,97230.97,97358.229,97475.83,97579.857,97665.634,97728.175,97785.977,97831.414,97877.961,97912.222,97943.662,97972.569,97996.351,98016.553,98031.422,98053.125,98071.4,98085.087,98097.383,98117.174,98137.681,98150.49,98173.707,98194.142,98212.23
8,86809.304,87415.911,87972.331,88505.649,89014.068,89528.045,89917.975,89997.658,89605.252,89838.552,89848.721,89902.923,89875.618,88023.462,89066.545,89137.73,89456.898,87737.847,89558.566,89161.89,92267.593,92992.303,93178.468,93368.951,93557.944,93716.104,93887.469,94035.15,94159.405,94325.383,94465.471,94647.016,94843.26,95042.077,95226.185,95460.411,95670.695,95893.982,96109.497,96315.134,96531.996,96698.215,96817.567,97055.451,97192.853,97320.563,97439.017,97543.86,97629.773,97690.634,97748.468,97793.484,97840.594,97874.676,97906.123,97935.592,97959.502,97979.714,97994.554,98016.529,98035.06,98048.73,98060.897,98080.983,98101.839,98114.272,98138.064,98158.711,98176.887
9,86480.926,87104.98,87675.015,88224.04,88745.066,89275.947,89676.365,89756.634,89347.537,89581.609,89601.77,89659.72,89632.508,87718.45,88801.342,88879.131,89212.284,87435.381,89322.085,88913.907,92135.392,92891.296,93087.452,93288.742,93488.311,93651.631,93828.209,93978.605,94103.594,94272.916,94413.626,94597.804,94796.885,94997.321,95180.362,95416.606,95626.887,95850.147,96065.722,96271.518,96491.175,96657.547,96773.792,97019.246,97158.365,97286.481,97405.725,97511.311,97597.354,97656.683,97714.562,97759.206,97806.83,97840.753,97872.2,97902.188,97926.216,97946.435,97961.257,97983.474,98002.24,98015.903,98027.96,98048.311,98069.485,98081.579,98105.898,98126.74,98145.0
