age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.07353684,0.07086273,0.06823215,0.06566746,0.06319347,0.06083823,0.05877025,0.05776368,0.05829755,0.05692198,0.05656876,0.05613057,0.05596328,0.06150788,0.05815816,0.05788542,0.05674014,0.06191859,0.05607975,0.05706912,0.04741874,0.04500964,0.04416232,0.04330156,0.04240375,0.04156191,0.04064948,0.03978527,0.0389517,0.0380099,0.0370979,0.03603863,0.03485219,0.03361403,0.032327,0.03088056,0.02945605,0.02795808,0.02649605,0.02510287,0.02373001,0.0224825,0.02141761,0.02015468,0.01926489,0.01834804,0.01755044,0.01684231,0.01625269,0.01574682,0.01533287,0.01498512,0.01467602,0.01442229,0.01420076,0.01402654,0.01386141,0.01370876,0.01359391,0.0134524,0.0133377,0.01323306,0.01312584,0.01299617,0.01286923,0.01274785,0.01260464,0.01247019,0.012334
1,0.01659411,0.01555548,0.01457361,0.01377451,0.01292686,0.01218673,0.01166408,0.01181402,0.01292336,0.01270307,0.01302212,0.01314402,0.01338942,0.01775045,0.01565928,0.01575332,0.0152784,0.01933498,0.0155062,0.01666097,0.01025396,0.00913849,0.00913506,0.00918935,0.00929266,0.00921183,0.00904948,0.00885105,0.00867328,0.00840845,0.00816227,0.00782863,0.00749388,0.00711056,0.00669918,0.00620563,0.00576933,0.00528743,0.00484964,0.00444711,0.00412528,0.00389695,0.0037257,0.0033777,0.00318697,0.00298918,0.00279983,0.00263583,0.00248912,0.0023602,0.00227317,0.00220494,0.002135,0.00208214,0.00203185,0.0019879,0.0019521,0.00192444,0.00190776,0.00187405,0.00184731,0.00183146,0.00182017,0.00179171,0.00176156,0.00174888,0.00171725,0.00168849,0.00166737
2,0.01333844,0.01249765,0.01173813,0.01107359,0.01041201,0.00977903,0.00933564,0.00935266,0.01005309,0.00977802,0.00994329,0.00994943,0.01006388,0.01298696,0.01145983,0.01142363,0.01101728,0.01372875,0.01100659,0.01170001,0.0071449,0.00619644,0.00602673,0.00585346,0.00568537,0.00551698,0.00533396,0.00517484,0.00504961,0.00487023,0.00472082,0.00452154,0.00431943,0.00410968,0.00392408,0.00368112,0.00347291,0.00325227,0.00304227,0.00284167,0.00263909,0.00250964,0.00242122,0.00219646,0.00206878,0.00196789,0.00186457,0.00177515,0.0016975,0.00164605,0.0015967,0.00156044,0.00151961,0.00149184,0.00146529,0.00143636,0.00141657,0.00140244,0.00139114,0.00137262,0.00135501,0.00134473,0.00133802,0.00132135,0.0013021,0.00129608,0.00127566,0.00125722,0.00124472
3,0.01076172,0.010081,0.00949161,0.00893919,0.00842168,0.0078825,0.00751485,0.00749987,0.00803208,0.00777838,0.00784473,0.00780292,0.00785899,0.01007682,0.00882806,0.00873086,0.0083585,0.0104169,0.00824637,0.00872355,0.00509143,0.00424774,0.00402613,0.00378434,0.00353814,0.00336866,0.00320544,0.00308682,0.00300481,0.00288086,0.00279353,0.00267077,0.00254322,0.00242626,0.00235084,0.00222777,0.00213337,0.00203721,0.00194163,0.00184753,0.00171728,0.00164723,0.00161519,0.00145157,0.00137181,0.00131979,0.00126253,0.00121243,0.00117311,0.0011621,0.00113632,0.00111969,0.00109564,0.00108216,0.00106834,0.00104977,0.00103869,0.00103141,0.00102519,0.0010139,0.00100259,0.00099685,0.00099386,0.00098331,0.00097069,0.0009692,0.00095514,0.00094357,0.00093633
4,0.00871336,0.00816212,0.00770258,0.00724436,0.00683793,0.00638139,0.00607903,0.00605968,0.00649668,0.00629309,0.00628688,0.00622625,0.00625335,0.00802906,0.00697324,0.0068532,0.00651652,0.00816919,0.0063699,0.00672728,0.00371763,0.00297886,0.0027603,0.00252146,0.00228006,0.00213721,0.00200395,0.00191784,0.00186629,0.00177774,0.00172775,0.00164805,0.00156318,0.00149512,0.00147078,0.00140328,0.0013628,0.00132323,0.00128227,0.0012406,0.00115394,0.00111787,0.00111989,0.00098951,0.00093918,0.00091204,0.00087941,0.00085029,0.00083131,0.00083947,0.0008271,0.00082164,0.00080687,0.0008014,0.00079454,0.00078222,0.00077599,0.00077238,0.00076951,0.00076213,0.00075482,0.00075202,0.00075136,0.00074428,0.00073571,0.00073703,0.00072668,0.00071944,0.00071531
5,0.00708955,0.00664277,0.00628164,0.00590257,0.00558117,0.00519718,0.00494927,0.00493296,0.00530132,0.00515549,0.00509646,0.00503172,0.00504422,0.0064996,0.00560256,0.00548093,0.00518437,0.00654354,0.00503616,0.00531809,0.0027981,0.00216413,0.00196991,0.0017595,0.00155004,0.00143677,0.0013307,0.00126781,0.00123607,0.00116972,0.00114134,0.00108578,0.00102563,0.00098324,0.00098158,0.00093928,0.00092324,0.00090816,0.00089197,0.00087448,0.00081393,0.00079656,0.00081773,0.00070677,0.00067277,0.00065826,0.00063867,0.00062072,0.000612,0.00062795,0.0006226,0.00062305,0.00061317,0.00061198,0.00060889,0.00060002,0.00059648,0.00059485,0.00059383,0.00058874,0.00058382,0.00058271,0.0005833,0.00057824,0.00057213,0.00057503,0.00056684,0.00056221,0.00055984
6,0.00581409,0.00545093,0.00516358,0.00485052,0.0045935,0.00427236,0.00406929,0.00405924,0.00437591,0.00428403,0.00419165,0.00413134,0.00413787,0.00535594,0.00459093,0.00447896,0.0042221,0.0053628,0.00408769,0.00432014,0.00218907,0.00164907,0.00148357,0.0013057,0.00113087,0.00104184,0.00095646,0.00090903,0.00088957,0.00083689,0.00082069,0.00077865,0.00073278,0.00070387,0.00071182,0.00068079,0.00067534,0.00067017,0.00066452,0.00065744,0.00061235,0.00060486,0.00063614,0.00053694,0.00051182,0.00050342,0.00049045,0.00047825,0.00047435,0.00049244,0.00049047,0.00049373,0.00048627,0.00048717,0.00048598,0.00047893,0.00047678,0.00047612,0.00047603,0.00047223,0.00046868,0.00046843,0.00046961,0.00046569,0.00046101,0.00046469,0.00045774,0.00045459,0.00045314
7,0.00482332,0.00452631,0.00429376,0.00403501,0.00382623,0.00355851,0.00339153,0.00338656,0.00365853,0.00360642,0.00350043,0.00344798,0.00345236,0.00447957,0.00382972,0.00373201,0.00351281,0.00447622,0.00339678,0.00359201,0.00178814,0.00133075,0.00119138,0.00104211,0.00089644,0.00082479,0.0007541,0.00071646,0.00070407,0.00065985,0.00064996,0.00061546,0.00057797,0.00055598,0.0005673,0.00054134,0.00053991,0.00053831,0.00053647,0.00053328,0.00049712,0.00049418,0.00052952,0.00043848,0.0004179,0.00041223,0.00040239,0.000393,0.00039104,0.0004087,0.00040805,0.00041225,0.00040598,0.00040766,0.00040733,0.00040121,0.0003997,0.00039945,0.00039971,0.00039663,0.00039379,0.0003939,0.00039522,0.00039196,0.00038809,0.00039199,0.00038576,0.00038337,0.00038234
8,0.00406841,0.00382255,0.00363024,0.00341497,0.00324182,0.00301787,0.00287854,0.00287267,0.00309636,0.00307056,0.00296048,0.00291478,0.00291649,0.00376383,0.00322371,0.00314051,0.00295713,0.00375207,0.00285703,0.00301605,0.00152086,0.00113951,0.00102156,0.00089501,0.00077175,0.00071167,0.00065127,0.00061963,0.00061061,0.00057205,0.00056463,0.00053449,0.00050205,0.0004834,0.00049472,0.00047149,0.00047092,0.00047029,0.00046912,0.0004668,0.00043563,0.00043382,0.00046802,0.00038479,0.00036629,0.00036165,0.00035306,0.00034492,0.00034345,0.00035973,0.00035927,0.00036331,0.0003577,0.00035941,0.00035936,0.00035377,0.00035249,0.00035237,0.0003526,0.00034995,0.00034744,0.00034756,0.00034877,0.00034589,0.00034248,0.00034616,0.00034047,0.00033839,0.0003375
9,0.00351038,0.00330304,0.00313968,0.00295808,0.00281071,0.00262124,0.00250221,0.00249022,0.00266353,0.00265714,0.00254357,0.00250234,0.00250019,0.00317744,0.00273962,0.00266946,0.00251863,0.00315355,0.00243043,0.00255358,0.00134668,0.00103399,0.00093293,0.00082381,0.00071733,0.00066471,0.00061149,0.00058335,0.00057521,0.00054072,0.00053331,0.00050566,0.00047611,0.00045862,0.00046791,0.00044648,0.0004451,0.00044415,0.00044202,0.00043908,0.00041029,0.00040747,0.00043647,0.0003614,0.00034351,0.00033889,0.00033041,0.00032256,0.00032077,0.00033546,0.00033458,0.00033783,0.00033259,0.0003339,0.00033373,0.0003285,0.00032721,0.00032706,0.00032707,0.00032462,0.0003222,0.00032215,0.0003231,0.00032043,0.00031723,0.00032037,0.00031516,0.00031311,0.00031219
