age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.09445731,0.09148989,0.0885239,0.08559635,0.08275228,0.0800743,0.07772082,0.07657712,0.07714206,0.07550379,0.07518736,0.07471551,0.074572,0.08080762,0.07711014,0.0765298,0.07515374,0.08079379,0.0741408,0.07509582,0.06419945,0.06137304,0.06028213,0.05916738,0.05801428,0.05692019,0.05576068,0.05465785,0.0535955,0.05243799,0.05131122,0.0500254,0.04857744,0.04703623,0.04540276,0.04357486,0.04172826,0.03977009,0.03782764,0.03595266,0.03410869,0.0324088,0.0309083,0.02923698,0.02797011,0.02675536,0.02568592,0.02473207,0.02392184,0.02321926,0.02263252,0.02213209,0.02168841,0.02131356,0.02098212,0.02070918,0.02045479,0.02022055,0.02002576,0.01980924,0.01961594,0.01942925,0.01923978,0.01902613,0.01881607,0.01861112,0.01838332,0.01816362,0.01794353
1,0.0212551,0.01982567,0.01849575,0.01724426,0.01608655,0.01505358,0.01419031,0.01416726,0.0152113,0.01470944,0.01494355,0.01496328,0.01510458,0.0195105,0.01724545,0.01712145,0.01649399,0.02056129,0.01640221,0.01741812,0.01060703,0.00917364,0.00894602,0.00873655,0.00849049,0.00826449,0.00808786,0.00797754,0.0078566,0.00766648,0.00739558,0.00710294,0.0068264,0.00662968,0.00624682,0.00572026,0.00531333,0.00491958,0.00457393,0.00431315,0.00399689,0.00372668,0.00353731,0.00314646,0.00294268,0.00269458,0.0024983,0.00229992,0.00215551,0.00203443,0.00196192,0.00190309,0.00184092,0.00179214,0.00174836,0.00171847,0.00168163,0.00165247,0.00163937,0.0016079,0.00158735,0.00157706,0.00156385,0.00154116,0.00152401,0.00151795,0.00149735,0.00148408,0.00146893
2,0.01672394,0.01573971,0.01482129,0.01395006,0.01313693,0.01240063,0.01178065,0.01167404,0.01224795,0.01186937,0.01194961,0.01192715,0.01197688,0.01469357,0.01325523,0.01314068,0.01271359,0.015217,0.01258925,0.01317609,0.00890295,0.00794459,0.00773733,0.0075288,0.00730725,0.00710428,0.00690187,0.00672246,0.00655681,0.00635229,0.00615174,0.00591975,0.00567481,0.00542467,0.00516141,0.00483087,0.00453628,0.00423526,0.00395367,0.00369703,0.00344453,0.00322564,0.0030744,0.00278795,0.00263332,0.00247089,0.00233308,0.00220405,0.00210131,0.00201483,0.00194936,0.001898,0.00184501,0.00180461,0.00176904,0.00173823,0.0017045,0.00167993,0.00166222,0.00163819,0.00161844,0.00160669,0.00159026,0.00156889,0.00154863,0.00153591,0.00151234,0.00149376,0.00147433
3,0.01322058,0.01255258,0.01192717,0.01133042,0.01076901,0.01025243,0.0098272,0.0097555,0.01019438,0.00994329,0.0099634,0.00995166,0.00998345,0.0120065,0.01092312,0.01083174,0.01049327,0.01235994,0.01039334,0.01081601,0.00761561,0.00686768,0.00667999,0.00647956,0.00627866,0.00610285,0.00588175,0.00566006,0.0054745,0.00526346,0.00512288,0.00493815,0.00471604,0.0044401,0.00427004,0.00407816,0.00387426,0.00364245,0.00341432,0.00317219,0.00297009,0.00279818,0.00269287,0.00246794,0.00237214,0.0022728,0.0021805,0.00210639,0.0020415,0.00198761,0.00193287,0.00189114,0.0018464,0.00181312,0.00178259,0.00175345,0.00172086,0.00169801,0.0016796,0.00165836,0.00164037,0.00162949,0.00161192,0.0015892,0.00156512,0.00154679,0.00151873,0.00149542,0.00147164
4,0.01049958,0.01005002,0.00962804,0.00922417,0.00884175,0.00848377,0.0082018,0.00817488,0.0085551,0.00841631,0.00839468,0.00839944,0.00842892,0.01004685,0.00917808,0.00910842,0.00882642,0.01032293,0.00875632,0.00908915,0.00652915,0.0059136,0.0057451,0.00555695,0.00537597,0.0052257,0.0049978,0.00475619,0.00456641,0.00435837,0.00426343,0.00411574,0.00391545,0.00363525,0.00353233,0.00343546,0.00329989,0.00312152,0.00293751,0.00271433,0.00255289,0.00242024,0.00235476,0.00217354,0.00212684,0.00207623,0.00202075,0.00199165,0.00195996,0.00193555,0.00189204,0.00186027,0.00182346,0.00179705,0.00177099,0.00174426,0.00171282,0.0016913,0.00167329,0.00165401,0.00163813,0.00162876,0.00161084,0.00158668,0.00155924,0.00153636,0.00150423,0.00147707,0.00144968
5,0.00839294,0.00808914,0.00780359,0.00753039,0.00727056,0.00702299,0.00684007,0.00684503,0.00718105,0.00713044,0.00707456,0.00709115,0.00712009,0.00844159,0.00773191,0.00767937,0.0074419,0.00866723,0.00739552,0.00766484,0.0055771,0.00506353,0.00491399,0.00474128,0.00458026,0.00445276,0.00422966,0.0039865,0.00380373,0.0036068,0.00354443,0.00342561,0.0032476,0.00297922,0.00292166,0.00288551,0.00279847,0.00266114,0.00251315,0.00231173,0.00218296,0.00208172,0.00204715,0.00189899,0.00188745,0.00187267,0.00184559,0.001851,0.00184605,0.00184598,0.00181292,0.00179042,0.00176104,0.00174111,0.00171946,0.00169542,0.00166572,0.00164582,0.00162874,0.0016115,0.00159784,0.00159012,0.00157254,0.00154778,0.00151831,0.00149245,0.00145774,0.00142823,0.00139866
6,0.00677808,0.00656754,0.00636953,0.00618075,0.00600087,0.00582654,0.0057081,0.0057343,0.00603689,0.00604585,0.0059699,0.00599407,0.0060234,0.00713391,0.00653931,0.0064997,0.0062972,0.00732913,0.0062688,0.00649507,0.00474573,0.00430997,0.00417901,0.00402416,0.00388292,0.00377546,0.00356661,0.00333608,0.00316834,0.00298822,0.00294788,0.00285128,0.00269548,0.00244983,0.00242079,0.00241881,0.0023639,0.00225716,0.00213807,0.00196041,0.00185741,0.00178046,0.00176835,0.00164442,0.00165474,0.00166289,0.00165517,0.00168295,0.00169636,0.00171324,0.00168904,0.00167428,0.0016513,0.00163693,0.00161937,0.00159819,0.00157092,0.00155296,0.00153734,0.00152222,0.00151075,0.00150465,0.00148821,0.00146412,0.00143451,0.00140791,0.00137278,0.00134299,0.00131323
7,0.00555412,0.00540024,0.00525556,0.00511828,0.00498747,0.00485899,0.00477927,0.00481798,0.00509407,0.00512942,0.00505428,0.00508235,0.00511217,0.00607388,0.00556183,0.00553137,0.00535655,0.00625172,0.00534083,0.00553866,0.00402994,0.00365372,0.00354053,0.00340472,0.00328254,0.00319225,0.00300417,0.00279567,0.0026475,0.00248738,0.00246086,0.0023812,0.0022468,0.00202976,0.00201681,0.00203001,0.00199443,0.00190985,0.00181342,0.00166007,0.00157696,0.00151791,0.0015205,0.00141421,0.00143492,0.00145451,0.00145757,0.00149576,0.0015186,0.00154415,0.00152656,0.00151736,0.00149937,0.0014892,0.00147517,0.0014568,0.00143255,0.00141679,0.00140299,0.00139001,0.00138052,0.00137582,0.00136122,0.00133914,0.00131144,0.00128644,0.00125325,0.00122531,0.00119744
8,0.00464244,0.00452175,0.00440844,0.00430125,0.00419919,0.00409819,0.0040396,0.00408184,0.00432996,0.00436662,0.00430549,0.00433363,0.00436226,0.00520166,0.00475683,0.00473237,0.00458109,0.00536326,0.00457248,0.00474691,0.00343419,0.003108,0.00301085,0.00289344,0.00278854,0.00271226,0.00254751,0.00236464,0.00223651,0.00209699,0.00207819,0.00201147,0.00189649,0.00170872,0.00170325,0.00172056,0.00169537,0.00162648,0.00154718,0.00141651,0.00134829,0.00130154,0.00131116,0.00121921,0.00124241,0.00126518,0.00127249,0.00131207,0.00133719,0.00136456,0.00135127,0.00134535,0.00133094,0.00132349,0.00131219,0.00129645,0.00127536,0.00126184,0.00124993,0.00123891,0.00123106,0.00122742,0.00121498,0.00119574,0.00117132,0.00114936,0.00111981,0.00109514,0.0010705
9,0.00398128,0.00387934,0.00378375,0.00369334,0.00360731,0.00352208,0.00347351,0.00351234,0.00372961,0.00375795,0.00371111,0.00373645,0.003762,0.00449134,0.00410557,0.00408488,0.00395411,0.00463399,0.00394803,0.00410033,0.00296098,0.00267864,0.00259519,0.00249414,0.002404,0.00233869,0.00219648,0.00203861,0.00192836,0.00180801,0.0017928,0.00173593,0.00163748,0.00147617,0.00147273,0.00148869,0.00146822,0.00141014,0.0013433,0.00123217,0.00117468,0.00113578,0.00114613,0.00106688,0.00108813,0.00110917,0.00111656,0.0011521,0.00117498,0.0011998,0.00118895,0.00118448,0.00117246,0.00116647,0.00115707,0.00114362,0.00112546,0.00111394,0.00110378,0.0010944,0.0010878,0.0010849,0.00107453,0.00105834,0.00103766,0.00101921,0.00099405,0.00097313,0.0009522
