age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.08426728,0.08143101,0.07861438,0.07587819,0.07321632,0.07069674,0.06850665,0.06738587,0.06795476,0.06645082,0.06611717,0.06566233,0.0655036,0.07139589,0.06787116,0.06744004,0.06617467,0.07158955,0.06533298,0.06631331,0.05601856,0.05339607,0.0524236,0.05143434,0.05040685,0.04943741,0.04839746,0.04741104,0.04646148,0.04541093,0.04439208,0.04321611,0.04189442,0.04049581,0.03902967,0.03738943,0.03574983,0.03401917,0.03231132,0.03067293,0.02905987,0.0275814,0.02629443,0.02482407,0.02374409,0.02268277,0.02177557,0.020911,0.02015519,0.0196076,0.0190816,0.01870823,0.01836057,0.01805249,0.01775011,0.01753432,0.01733254,0.01714316,0.0170063,0.01680605,0.01665626,0.01650242,0.01634726,0.01620359,0.01599132,0.01583859,0.01565058,0.01546129,0.01527722
1,0.01896978,0.01773259,0.01657379,0.01554439,0.01453894,0.01364985,0.01295373,0.01301558,0.01409166,0.01372776,0.01400363,0.01407337,0.01426557,0.01864932,0.01646929,0.01645212,0.01589938,0.01996138,0.01596394,0.01704785,0.01043443,0.00915646,0.00903837,0.00895773,0.00888224,0.00872695,0.0085572,0.00840382,0.00825509,0.00802845,0.00776954,0.00745684,0.00715192,0.00686424,0.00646752,0.00595706,0.00553576,0.00509898,0.00470836,0.00437845,0.00405946,0.00380963,0.00362906,0.00325903,0.00306154,0.00283778,0.00264455,0.00246194,0.00231653,0.00219356,0.00211357,0.00204942,0.00198284,0.00193079,0.00188388,0.00184713,0.00181034,0.00178146,0.00176633,0.00173324,0.00170981,0.00169716,0.00168618,0.0016618,0.0016391,0.00162855,0.00160148,0.00158076,0.00156299
2,0.01505996,0.01414696,0.01330724,0.01253811,0.01179988,0.01111471,0.01058187,0.01053634,0.01117252,0.01084482,0.01096695,0.01095874,0.01104023,0.01385799,0.01237598,0.01229978,0.01188307,0.01448849,0.0118145,0.01245365,0.00804274,0.00708957,0.00690111,0.00671003,0.00651479,0.006329,0.00613637,0.005967,0.00582116,0.00562902,0.00545355,0.00523765,0.00501373,0.00478326,0.00455775,0.00426982,0.0040174,0.00375571,0.00350912,0.00327993,0.00305186,0.00287665,0.00275614,0.00249985,0.00235846,0.00222614,0.00210535,0.00199602,0.00190654,0.00183685,0.0017771,0.00173353,0.0016871,0.00165358,0.00162339,0.00159393,0.001567,0.00154788,0.00153365,0.00151257,0.00149439,0.00148329,0.00146969,0.00144948,0.00142895,0.00141972,0.00139899,0.00138174,0.00136574
3,0.01200976,0.01133601,0.01072892,0.01015454,0.00961528,0.00908807,0.00869156,0.00864825,0.00913344,0.00888137,0.00892435,0.00889814,0.0089421,0.01106076,0.00989637,0.00980188,0.00944677,0.01140773,0.00934142,0.00979075,0.00637896,0.00558434,0.00538054,0.00516054,0.00493783,0.0047655,0.00457316,0.0044024,0.0042677,0.00409939,0.00398502,0.0038308,0.00365511,0.00345701,0.00333316,0.0031747,0.00302413,0.00285863,0.00269542,0.00252569,0.00235885,0.00223679,0.00216735,0.00197251,0.00188469,0.00180863,0.00173369,0.00167173,0.00162018,0.00158934,0.00154833,0.00151421,0.00148035,0.00145821,0.00143769,0.00141595,0.00139468,0.0013796,0.0013681,0.00135262,0.00133861,0.0013315,0.00131663,0.00129657,0.00127606,0.00126633,0.00124563,0.00123108,0.00121809
4,0.00961853,0.00911934,0.00867923,0.00824906,0.00785528,0.00744927,0.00715769,0.0071349,0.00754356,0.00737341,0.00735965,0.00733249,0.00736107,0.00905675,0.00809635,0.00800195,0.00769283,0.00926597,0.00758554,0.00793061,0.00514985,0.00447382,0.00428094,0.00406847,0.00385862,0.00371243,0.0035313,0.00336642,0.00324497,0.00309574,0.00302303,0.00290884,0.0027653,0.00258913,0.00252491,0.00244243,0.00235319,0.00224257,0.0021286,0.00199439,0.00186966,0.00178441,0.00175206,0.00159582,0.00154757,0.00150863,0.00146456,0.00143584,0.00141093,0.00140352,0.00137803,0.00135866,0.00132632,0.00131121,0.0012966,0.00127951,0.00126331,0.00125173,0.00124141,0.0012293,0.00121892,0.00121376,0.00119955,0.00117928,0.00115821,0.00114753,0.00112654,0.00110982,0.00109779
5,0.00774937,0.00737514,0.00705267,0.00672753,0.00643772,0.00612329,0.00590874,0.00590359,0.00625591,0.00615893,0.00610193,0.0060788,0.00609982,0.00748739,0.00668596,0.00659957,0.00633303,0.00762384,0.00623632,0.00651214,0.00421217,0.00363905,0.00346746,0.00327637,0.00309206,0.00297231,0.00280709,0.00265286,0.00254478,0.00241254,0.00236718,0.0022796,0.00215959,0.00200221,0.00197235,0.00193349,0.00188123,0.00180362,0.00172008,0.0016088,0.00151368,0.00145364,0.00144655,0.00131675,0.00129441,0.00128,0.00125681,0.00125112,0.00124475,0.00125313,0.00123483,0.00122667,0.00120387,0.00118836,0.00117705,0.00116296,0.00114892,0.00114128,0.00113344,0.00112253,0.00111473,0.00111177,0.00109773,0.00107791,0.0010564,0.0010455,0.00102418,0.00100739,0.00099189
6,0.00629937,0.00601586,0.00577381,0.00552394,0.00530621,0.00505973,0.00489984,0.00490849,0.00521834,0.00517794,0.00509431,0.00507728,0.00509561,0.0062592,0.00558103,0.00550605,0.00527687,0.00636225,0.00519602,0.00542525,0.00348834,0.00300123,0.00285285,0.00268655,0.0025289,0.00243099,0.00228355,0.00214348,0.00204908,0.00193214,0.00190427,0.00183477,0.00173314,0.00159405,0.00158348,0.00156758,0.00153716,0.00148023,0.00141665,0.00132253,0.00124806,0.00120537,0.00121468,0.00110307,0.00109624,0.00109647,0.00108641,0.0010949,0.00110015,0.00111804,0.00110531,0.00110059,0.00108594,0.00107596,0.00106392,0.00105123,0.00103877,0.00103219,0.00102756,0.00101943,0.00101227,0.0010107,0.00099869,0.00097949,0.00095836,0.00094723,0.00092678,0.00091045,0.00089509
7,0.00518701,0.00496605,0.00478012,0.00458286,0.00441374,0.00421665,0.00409406,0.00411146,0.00438579,0.00437826,0.00428817,0.00427691,0.00429452,0.0052887,0.00470892,0.00464553,0.00444904,0.00537785,0.00438395,0.0045802,0.00292599,0.00250985,0.00238365,0.00224082,0.00210695,0.00202596,0.00189613,0.00177239,0.00169148,0.00158882,0.001571,0.00151407,0.00142756,0.00130652,0.00130576,0.00130005,0.00128147,0.00123781,0.00118782,0.00110805,0.001048,0.0010166,0.00103546,0.0009368,0.00093751,0.00094491,0.0009418,0.00095695,0.00096788,0.00098985,0.00098091,0.00097884,0.00096661,0.00096184,0.00095144,0.0009392,0.00092753,0.00092173,0.00091753,0.0009126,0.00090777,0.00090587,0.00089546,0.00087911,0.00085957,0.00084874,0.00082935,0.00081476,0.00080041
8,0.00435284,0.00417039,0.00402165,0.00386294,0.00372575,0.00356414,0.00346576,0.00348441,0.00372067,0.00372671,0.00364164,0.00363355,0.00364921,0.0044928,0.00400118,0.00394785,0.00378091,0.00456953,0.00372741,0.00389417,0.0024912,0.0021376,0.00203022,0.00190819,0.00179389,0.00172552,0.00161235,0.00150445,0.00143558,0.00134618,0.00133338,0.00128509,0.00121115,0.00110676,0.00110977,0.00110741,0.00109455,0.00105938,0.00101861,0.00095097,0.00090094,0.00087628,0.00089808,0.00081061,0.00081354,0.00082306,0.00082273,0.00083909,0.00085139,0.00087352,0.00086674,0.00086602,0.00085584,0.00085252,0.00084542,0.00083387,0.0008226,0.00081693,0.00081305,0.00080856,0.00080619,0.00080567,0.00079591,0.00078182,0.00076544,0.00075612,0.00073828,0.00072521,0.00071292
9,0.00374398,0.00358851,0.00345999,0.00332776,0.00321318,0.00307638,0.0029931,0.00300689,0.00320257,0.00321392,0.0031343,0.00312694,0.00313899,0.00384288,0.00343167,0.00338672,0.00324612,0.00390396,0.0031998,0.00333774,0.00216498,0.00186734,0.00177499,0.00166998,0.00157167,0.00151235,0.00141401,0.00132032,0.00126081,0.00118328,0.00117225,0.0011301,0.00106594,0.00097576,0.00097882,0.00097659,0.0009657,0.00093588,0.000901,0.00084314,0.00079982,0.00077865,0.00079819,0.00072111,0.00072335,0.00073195,0.00073171,0.00074613,0.00075704,0.00077706,0.00077125,0.00077075,0.00076214,0.00075935,0.00075388,0.00074413,0.00073358,0.00072773,0.00072365,0.00071946,0.00071701,0.000718,0.00071059,0.00069795,0.000684,0.00067686,0.00066155,0.0006499,0.00063922
