"year","kt1","kt2"
1980,-2.97470785985891,0.102804882852225
1981,-2.99079976739988,0.103314920742426
1982,-3.00680991880774,0.10385015837407
1983,-3.0182435052075,0.104304044775364
1984,-3.03157956584784,0.104752731187309
1985,-3.04440702701893,0.10479702675629
1986,-3.06058025962237,0.104925415310295
1987,-3.08055695917929,0.105114478662976
1988,-3.10688359633534,0.105588244790261
1989,-3.11261738904061,0.105632100583194
1990,-3.11697915153013,0.105572300198107
1991,-3.12451652509137,0.105655313500617
1992,-3.13172096767208,0.10586686780146
1993,-3.14009703461785,0.106097885534281
1994,-3.15366703315799,0.106443930238135
1995,-3.17789152280018,0.106568744458322
1996,-3.20097938336622,0.106665450182847
1997,-3.22784108612245,0.106463370552813
1998,-3.26270969690813,0.106470727800666
1999,-3.28357026437207,0.106024861866123
2000,-3.29161792867179,0.1059330503306
2001,-3.30688920868183,0.105672508829839
2002,-3.31729171223306,0.105313607700842
2003,-3.32187267007341,0.10505286533018
2004,-3.30100948322502,0.105178265696533
2005,-3.30826182936545,0.105063458774867
2006,-3.31350374971846,0.104947024110824
2007,-3.3174137250128,0.104787390195502
2008,-3.32021826470745,0.104617366257928
2009,-3.32264778282139,0.104440608977839
2010,-3.32748144044232,0.104286721176973
