"year","kt"
1980,24.215763266403
1981,22.5864393941141
1982,20.9643975028994
1983,19.7124674268078
1984,18.2212758365465
1985,16.9871164929568
1986,15.3514375164141
1987,13.2974775181311
1988,10.6511271882268
1989,9.63265910652869
1990,8.590723626437
1991,7.30503933220821
1992,5.91332021789735
1993,4.41351939028625
1994,2.47254676036389
1995,-0.197669299216965
1996,-2.64754167773343
1997,-5.17766547585134
1998,-8.94862057869192
1999,-11.1266266399304
2000,-12.2382276439781
2001,-13.9628922829888
2002,-15.2048481278672
2003,-15.9349941286315
2004,-14.402266430238
2005,-15.3142474991726
2006,-15.9729653029967
2007,-16.573179679003
2008,-17.0368341722495
2009,-17.4849012760164
2010,-18.0918303616554
