"age","ax","bx"
0,-3.55032516386236,0.0205493860587315
1,-5.51415286339035,0.0324382612813003
2,-5.79702256659431,0.0295336140454971
3,-6.04327630829212,0.0265574117462119
4,-6.25833994319681,0.02372239193188
5,-6.45022131573575,0.021211096600426
6,-6.62610150718042,0.0192217950317796
7,-6.78968674415472,0.0179164497007345
8,-6.93616342078573,0.0172147282372804
9,-7.05740972202525,0.0170643254252743
10,-7.14106352889752,0.0172210595309596
11,-7.17705961422186,0.0174062247908198
12,-7.16176316885565,0.017349512787629
13,-7.09759378484944,0.0169013266753173
14,-6.99489305366417,0.0161048084265987
15,-6.8648026756499,0.0150171116427716
16,-6.72267018800174,0.0138670562872106
17,-6.58437432525749,0.0129136863433859
18,-6.46127274694293,0.01229060609804
19,-6.36194188133802,0.0120569823127318
20,-6.2871495957585,0.0121023018190157
21,-6.23480777134544,0.0122874046440941
22,-6.20016419347229,0.0124630203351436
23,-6.17794854466489,0.0125144815374905
24,-6.1638087888665,0.0124651175554132
25,-6.15318281684214,0.012303118692146
26,-6.14253347324572,0.012074044472239
27,-6.12902478591436,0.0118329711371675
28,-6.11220637867766,0.0116224858294917
29,-6.09255150055007,0.0114650643099592
30,-6.0723276769734,0.0113771309178094
31,-6.05412428875503,0.0113629656752146
32,-6.03850987802485,0.0113572454004272
33,-6.02523875194644,0.0113177513636212
34,-6.01166354316968,0.0112540003534066
35,-5.99395950097254,0.0111729570688971
36,-5.96816115221142,0.0110839930508009
37,-5.93039565316717,0.010976333909942
38,-5.88059385039593,0.010844451348391
39,-5.82127162260131,0.0107074557896035
40,-5.7579638386076,0.0105697958879374
41,-5.697855500393,0.0104371781847103
42,-5.64540271627096,0.0103067338456817
43,-5.60280684808701,0.0101642057571772
44,-5.56696546140379,0.0100087062895553
45,-5.53099222315197,0.00981324683454071
46,-5.48750894882545,0.00957349163619311
47,-5.42913586298441,0.0092839083347735
48,-5.35393150922882,0.00893646590158413
49,-5.26445226808444,0.00855699665044766
50,-5.16777238716917,0.00816304763836346
51,-5.07447700344102,0.0078030519658182
52,-4.99213425090124,0.00750836977569553
53,-4.925708978963,0.00730924962484
54,-4.87413533215252,0.00723043473362978
55,-4.83033355003294,0.00721298169348278
56,-4.78608984586474,0.00721985821235961
57,-4.73230964561821,0.00721577372148459
58,-4.66376339486995,0.00715684007561581
59,-4.57972447590269,0.00704683931394423
60,-4.48292210932103,0.00688211326814542
61,-4.37946429045074,0.00666808394355941
62,-4.27514826868068,0.00644523342533011
63,-4.17480007978808,0.00626360665597655
64,-4.08029269479254,0.00614305733391228
65,-3.99029033696557,0.00606897956616857
66,-3.9025207026052,0.00602844114090343
67,-3.81402206303857,0.00601631528511017
68,-3.7228117698324,0.006025352225056
69,-3.62823206168495,0.00605523274504443
70,-3.53050350146392,0.00610092723765905
71,-3.43086334148685,0.00614970781719863
72,-3.33055280574943,0.00619739412886836
73,-3.23045441108925,0.00624369602573554
74,-3.13099276218232,0.00629450820049441
75,-3.03184708248342,0.00636482586510671
76,-2.93244414282596,0.00646220594279326
77,-2.8321436509719,0.00659705038734958
78,-2.73047365799184,0.00676689883068755
79,-2.62745707102907,0.00696136504077455
80,-2.52347756566894,0.00717168098764728
81,-2.41927974913207,0.00738092308388704
82,-2.31579370355226,0.00758825418688626
83,-2.213838452029,0.00779959740049231
84,-2.11408338154074,0.0080192870084325
85,-2.01685119967211,0.0082713263123645
86,-1.92209285217533,0.00855715664534609
87,-1.82938141431133,0.00887778537846544
88,-1.7380643738223,0.00922452831906807
89,-1.6471679921351,0.00958604678089093
90,-1.55595704818636,0.00997096044398599
