"cohort","gc"
1890,-0.112911909038998
1891,-0.0974083428719877
1892,-0.0827334522893041
1893,-0.0691616128857165
1894,-0.0563583579581457
1895,-0.0451466577462752
1896,-0.0347587375195898
1897,-0.0264404774135274
1898,-0.0173336186283658
1899,-0.00827627361403266
1900,0.00038191678225051
1901,0.0084966257618668
1902,0.0160170108860685
1903,0.0228043032569887
1904,0.0288858511348547
1905,0.0342450691445898
1906,0.0390899669588458
1907,0.0430318717449492
1908,0.0464939547401825
1909,0.0492603699738508
1910,0.0517259455480771
1911,0.0532600263311706
1912,0.0537492715830575
1913,0.0532915530040773
1914,0.0521189618367233
1915,0.0503927653924264
1916,0.0484101423294568
1917,0.0463140525211846
1918,0.0437266131113345
1919,0.0404248816047849
1920,0.0367959229028813
1921,0.0331527293165082
1922,0.0292146610124024
1923,0.0254731745360158
1924,0.0221578822342805
1925,0.0190228326695417
1926,0.0158832954273612
1927,0.0126270728733071
1928,0.00923861881407918
1929,0.00581952717889064
1930,0.00249508309548404
1931,-0.000595375983073033
1932,-0.00336544461079233
1933,-0.00592464285339034
1934,-0.00860469204743951
1935,-0.0114598825847819
1936,-0.0143645495771085
1937,-0.0173302454381558
1938,-0.0203323998506903
1939,-0.0233323804317002
1940,-0.0262995671108721
1941,-0.0293365502658898
1942,-0.0322345687329397
1943,-0.0344311442934304
1944,-0.0358749050384387
1945,-0.0369380111438189
1946,-0.038145643440991
1947,-0.0399632036735477
1948,-0.0408378750531975
1949,-0.0377806628530659
1950,-0.0349269001236965
1951,-0.0349135724096193
1952,-0.0349683192473701
1953,-0.0342763740651678
1954,-0.0327313124921288
1955,-0.0320437645645852
1956,-0.0317892280477356
1957,-0.0305938668463116
1958,-0.0310686764579858
1959,-0.030338407684598
1960,-0.0280589608308894
1961,-0.0271213342543802
1962,-0.0253728212153187
1963,-0.0231088342902447
1964,-0.0212971079399468
1965,-0.019746646284098
1966,-0.0180679483529824
1967,-0.015703348302546
1968,-0.0128344100735707
1969,-0.0093410319308179
1970,-0.0053945318913248
1971,-0.00140063494162689
1972,0.00290106860894238
1973,0.00737621735512891
1974,0.0117285004484226
1975,0.0145197230075416
1976,0.014481236724751
1977,0.0117043220697685
1978,0.00509946609283896
1979,-0.00632398557325851
1980,-0.00612735377460584
1981,0.0132121271199156
1982,0.0323605124688188
1983,0.0470840323070949
1984,0.062321370318882
1985,0.0750573094658904
1986,0.0902336060160132
1987,0.105716599941962
1988,0.118502616107323
1989,0.107083364880195
1990,0.0933262458274838
1991,0.0814534770892396
1992,0.0694718522987067
1993,0.0603579808397876
1994,0.0590024894248585
1995,0.0669888370799146
1996,0.0719444727989923
1997,0.0767739735595492
1998,0.0894440099838339
1999,0.0818552661449727
2000,0.0557124443701798
2001,0.0380551110801832
2002,0.00963830731571632
2003,-0.0272102965349057
2004,-0.0863518285719471
2005,-0.108087117447623
2006,-0.128468505826736
2007,-0.14779044892109
2008,-0.165456014373288
2009,-0.177626561958369
2010,-0.171187164276364
