"year","kt"
1980,27.5001686071771
1981,25.2631858301284
1982,22.991551739792
1983,21.177309941373
1984,19.1069244380799
1985,17.3702264361992
1986,15.199742812395
1987,12.5880232354247
1988,9.40992781869652
1989,8.26152869320549
1990,7.18877272787469
1991,5.90218935852501
1992,4.55275373631596
1993,3.09789922423779
1994,1.13101928261638
1995,-1.67725962901336
1996,-4.20264606568836
1997,-6.797727887344
1998,-10.719118770198
1999,-12.8265311259751
2000,-13.6143155461076
2001,-15.0848154017266
2002,-15.9659286069733
2003,-16.2395106923107
2004,-13.9636335056873
2005,-14.4549875951272
2006,-14.7054948454096
2007,-14.919384203741
2008,-15.0949349276961
2009,-15.0760908711444
2010,-15.3988442078985
