age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,93774.452,93896.226,94022.205,94150.766,94279.703,94404.781,94517.667,94573.532,94545.855,94626.563,94642.309,94665.883,94673.075,94370.175,94547.414,94575.858,94643.985,94370.825,94694.749,94646.873,95221.07,95380.179,95442.734,95507.316,95574.828,95639.553,95708.861,95775.466,95840.26,95911.57,95981.703,96062.605,96154.823,96254.286,96361.185,96482.631,96607.29,96741.668,96877.211,97010.187,97143.038,97267.347,97378.556,97504.072,97600.382,97693.681,97776.598,97851.17,97914.976,97970.647,98017.385,98057.426,98093.063,98123.273,98150.06,98172.174,98192.83,98211.886,98227.761,98245.438,98261.243,98276.533,98292.074,98309.627,98326.914,98343.81,98362.622,98380.798,98399.039
1,90183.883,90512.212,90836.741,91155.087,91462.482,91750.02,92001.246,92105.391,92006.767,92177.397,92195.233,92236.908,92243.391,91481.744,91916.862,91974.757,92127.377,91435.409,92222.925,92090.395,93391.556,93716.368,93826.82,93938.732,94056.005,94167.057,94281.939,94388.625,94492.2,94607.935,94724.789,94857.546,95004.775,95157.13,95327.19,95522.576,95714.464,95916.641,96115.551,96304.538,96493.74,96667.557,96818.955,96996.678,97127.2,97255.139,97366.892,97467.854,97552.556,97625.888,97685.794,97736.783,97782.512,97820.99,97855.061,97882.83,97909.163,97933.186,97952.624,97975.066,97994.737,98013.274,98032.229,98053.99,98075.14,98095.259,98118.31,98140.225,98162.277
2,88485.536,88915.23,89334.666,89743.174,90134.777,90498.319,90813.562,90922.235,90751.237,90959.641,90962.886,91004.114,91001.784,89928.63,90524.328,90592.165,90790.467,89812.059,90894.449,90690.899,92484.56,92917.413,93047.164,93177.624,93315.773,93446.003,93577.739,93697.193,93813.448,93946.89,94085.124,94241.719,94412.617,94585.154,94784.832,95019.855,95244.156,95478.518,95706.542,95919.541,96135.332,96332.067,96499.377,96709.269,96856.765,97004.265,97131.958,97248.599,97345.142,97428.431,97494.941,97551.206,97602.469,97645.23,97683.115,97713.801,97743.538,97770.146,97791.058,97816.178,97837.789,97857.374,97877.749,97901.633,97924.581,97945.59,97970.769,97994.211,98017.925
3,87169.408,87665.267,88146.967,88615.189,89063.169,89478.514,89837.216,89952.753,89738.066,89972.512,89971.191,90013.512,90007.533,88735.243,89435.908,89512.158,89742.485,88581.294,89855.354,89608.818,91723.602,92231.608,92378.651,92527.099,92683.867,92830.804,92981.362,93118.726,93250.639,93402.69,93556.092,93731.345,93923.257,94119.657,94338.806,94597.449,94844.403,95103.125,95354.56,95590.616,95827.454,96042.329,96221.482,96455.435,96614.646,96774.447,96912.99,97039.227,97143.707,97233.649,97305.875,97366.563,97422.49,97468.763,97509.802,97543.358,97576.279,97605.156,97627.795,97655.083,97678.502,97699.161,97721.164,97747.165,97772.244,97794.738,97822.403,97847.859,97873.652
4,86140.971,86679.489,87201.505,87708.646,88193.715,88643.811,89030.686,89149.593,88900.378,89150.044,89148.794,89191.043,89182.384,87761.679,88541.13,88623.761,88879.395,87581.814,88998.755,88721.014,91077.009,91643.927,91806.389,91971.79,92145.216,92306.355,92476.825,92634.903,92783.544,92954.315,93117.953,93307.9,93518.7,93740.322,93971.422,94242.674,94504.749,94781.989,95052.166,95309.65,95563.165,95792.037,95978.923,96231.83,96397.543,96564.228,96709.618,96840.59,96949.539,97043.101,97119.958,97184.101,97243.89,97292.982,97336.701,97372.918,97408.899,97439.888,97464.265,97493.482,97518.513,97540.126,97563.825,97592.072,97619.626,97644.096,97674.658,97702.54,97730.795
5,85330.662,85896.509,86444.426,86976.642,87485.786,87958.927,88363.374,88482.367,88203.406,88459.509,88461.693,88502.673,88491.495,86953.801,87795.398,87882.708,88159.116,86753.806,88282.656,87980.636,90527.241,91142.204,91318.302,91499.337,91687.555,91860.655,92051.063,92230.769,92395.975,92584.783,92755.07,92956.668,93184.304,93430.762,93668.619,93945.25,94216.99,94508.307,94793.443,95070.41,95337.125,95576.635,95767.894,96036.063,96204.242,96373.745,96522.834,96654.699,96765.214,96859.785,96940.208,97006.865,97069.758,97121.013,97166.973,97205.594,97244.486,97277.438,97303.48,97334.427,97360.856,97383.266,97408.655,97439.241,97469.525,97496.334,97530.109,97560.714,97591.707
6,84685.572,85269.091,85833.777,86382.204,86906.992,87395.453,87810.553,87927.434,87622.226,87878.481,87886.442,87925.365,87911.697,86279.033,87170.966,87261.678,87555.404,86062.467,87681.379,87359.754,90061.099,90715.962,90903.989,91099.127,91300.322,91483.443,91692.874,91893.648,92074.389,92279.939,92454.415,92665.344,92907.776,93177.452,93418.712,93696.394,93974.086,94276.159,94573.226,94867.531,95144.705,95392.233,95585.354,95866.055,96033.996,96203.519,96354.022,96484.056,96593.968,96687.56,96770.611,96838.956,96904.277,96957.108,97004.893,97045.643,97087.237,97121.974,97149.563,97182.034,97209.642,97232.69,97259.694,97292.609,97325.723,97355.046,97392.173,97425.624,97459.465
7,84164.838,84760.224,85336.173,85895.432,86430.698,86929.651,87351.199,87464.632,87135.806,87388.704,87403.225,87439.65,87423.472,85710.98,86644.994,86738.2,87046.592,85479.887,87173.761,86835.574,89666.721,90355.403,90553.74,90761.319,90973.754,91165.236,91392.079,91612.307,91806.998,92027.609,92204.691,92423.197,92678.445,92968.965,93211.644,93488.186,93769.504,94079.921,94386.543,94695.941,94981.452,95235.033,95428.291,95719.549,95885.747,96053.675,96204.169,96330.823,96438.813,96530.206,96615.142,96684.536,96751.735,96805.67,96854.911,96897.514,96941.542,96977.862,97006.837,97040.624,97069.21,97092.749,97121.221,97156.333,97192.184,97223.976,97264.376,97300.591,97337.194
8,83736.736,84340.677,84924.735,85491.753,86034.526,86541.125,86966.807,87076.215,86726.108,86974.684,86995.067,87028.875,87010.229,85229.015,86199.025,86294.122,86615.062,84984.791,86742.656,86390.055,89332.652,90050.398,90257.561,90475.918,90697.984,90896.457,91138.712,91376.212,91583.056,91816.886,91995.647,92220.408,92486.63,92795.332,93038.415,93313.02,93596.655,93913.708,94228.068,94550.374,94842.624,95100.864,95293.27,95593.591,95757.468,95923.14,96072.931,96195.671,96301.2,96389.913,96476.214,96546.239,96614.907,96669.618,96720.014,96764.209,96810.371,96848.06,96878.242,96913.147,96942.536,96966.449,96996.196,97033.267,97071.602,97105.635,97149.033,97187.762,97226.876
9,83376.393,83987.087,84577.532,85150.647,85699.316,86211.971,86640.678,86746.159,86377.271,86622.031,86647.01,86678.365,86657.446,84816.878,85817.843,85914.459,86246.153,84560.966,86373.838,86008.68,89047.426,89790.202,90004.895,90232.498,90462.79,90667.168,90922.769,91175.241,91392.523,91637.776,91817.749,92047.765,92323.34,92647.669,92890.78,93163.399,93448.713,93771.218,94091.977,94425.234,94723.052,94985.034,95176.255,95484.381,95645.945,95809.325,95958.234,96077.218,96180.308,96266.398,96353.752,96424.188,96494.044,96549.337,96600.67,96646.221,96694.224,96733.079,96764.293,96800.145,96830.199,96854.401,96885.218,96923.964,96964.444,97000.398,97046.405,97087.306,97128.593
