age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,94210.522,94340.968,94474.479,94607.998,94741.538,94871.282,94986.723,95046.766,95016.207,95097.362,95115.526,95140.383,95149.083,94834.952,95020.687,95043.849,95112.391,94824.933,95158.451,95104.84,95693.383,95852.493,95912.461,95974.005,96038.507,96099.91,96166.368,96229.973,96291.725,96360.647,96428.096,96506.694,96595.992,96691.602,96793.069,96908.1,97024.7,97149.54,97274.53,97396.126,97517.475,97630.135,97729.329,97843.953,97929.03,98013.374,98086.052,98155.818,98217.21,98261.926,98305.067,98335.801,98364.503,98390.005,98415.097,98433.041,98449.849,98465.648,98477.081,98493.832,98506.381,98519.284,98532.313,98544.393,98562.266,98575.146,98591.021,98607.029,98622.619
1,91196.149,91506.397,91812.11,92105.455,92391.734,92660.509,92891.134,92990.031,92888.719,93042.073,93059.644,93097.761,93103.306,92367.875,92786.77,92826.642,92966.91,92290.404,93040.37,92901.398,94148.204,94449.442,94544.659,94639.761,94738.257,94835.259,94939.584,95038.294,95133.476,95241.851,95348.948,95473.391,95611.265,95755.75,95912.042,96090.453,96264.934,96449.157,96629.449,96800.657,96969.333,97122.224,97253.793,97412.38,97525.475,97638.248,97734.888,97827.042,97907.011,97965.873,98020.595,98059.828,98096.716,98129.082,98160.66,98183.365,98204.722,98224.497,98238.508,98259.554,98275.236,98290.786,98306.385,98321.532,98343.262,98358.618,98378.217,98397.637,98416.409
2,89656.055,90058.051,90449.456,90820.236,91182.127,91519.502,91803.763,91900.723,91721.858,91905.096,91904.104,91938.895,91931.746,90876.891,91456.77,91500.327,91683.114,90712.141,91755.701,91539.513,93281.891,93684.938,93793.753,93900.844,94011.281,94123.593,94244.217,94357.436,94465.858,94593.295,94720.258,94868.981,95031.132,95199.423,95384.516,95600.147,95806.039,96022.943,96233.119,96430.596,96625.068,96797.997,96943.728,97132.237,97261.492,97391.306,97503.017,97609.204,97700.474,97768.632,97830.081,97874.511,97916.864,97953.362,97988.661,98014.572,98039.017,98061.112,98076.54,98100.209,98117.907,98134.597,98151.378,98168.69,98192.509,98208.813,98230.73,98251.986,98272.39
3,88449.817,88917.045,89368.228,89794.966,90210.458,90599.209,90922.904,91022.979,90794.841,91002.635,90994.119,91030.128,91017.33,89750.849,90443.307,90494.104,90709.917,89544.252,90789.625,90526.352,92611.388,93092.914,93219.328,93344.95,93474.269,93602.707,93740.712,93869.296,93990.346,94134.115,94274.134,94439.646,94619.979,94807.864,95008.807,95244.862,95469.238,95705.832,95934.98,96151.029,96363.971,96550.788,96705.335,96915.245,97055.339,97195.008,97316.019,97430.35,97528.333,97601.279,97667.544,97715.696,97761.905,97801.068,97838.793,97867.17,97893.938,97917.675,97934.34,97959.766,97979.016,97996.575,98014.728,98033.99,98059.787,98077.0,98100.919,98123.707,98145.508
4,87497.886,88011.759,88504.739,88972.085,89425.528,89852.854,90204.944,90307.218,90040.593,90265.738,90255.961,90294.088,90278.115,88852.137,89632.927,89691.743,89935.53,88622.914,90024.132,89727.395,92078.909,92625.788,92769.971,92915.083,93063.94,93206.664,93361.523,93505.282,93637.859,93795.984,93944.294,94121.863,94316.649,94521.624,94730.874,94977.686,95212.855,95461.999,95703.829,95933.94,96160.423,96356.837,96515.987,96742.471,96888.908,97033.919,97160.512,97279.073,97380.628,97455.328,97524.737,97575.429,97624.804,97665.731,97705.12,97735.356,97763.92,97788.928,97806.639,97833.381,97853.801,97871.937,97891.49,97912.703,97940.504,97958.696,97984.628,98008.922,98031.923
5,86740.991,87288.572,87811.011,88308.069,88788.499,89244.949,89617.351,89720.216,89421.274,89656.86,89650.315,89690.443,89672.35,88119.887,88972.643,89039.079,89306.809,87877.344,89403.916,89081.543,91648.792,92250.74,92411.184,92574.418,92741.01,92895.595,93066.057,93224.238,93367.133,93537.968,93691.404,93877.968,94084.649,94304.85,94518.07,94770.08,95011.458,95269.044,95519.821,95761.245,95997.874,96200.946,96361.74,96601.679,96751.318,96898.71,97028.391,97148.462,97251.402,97325.957,97397.406,97449.374,97501.374,97543.742,97584.347,97616.068,97646.073,97671.99,97690.567,97718.402,97739.686,97758.198,97779.11,97802.258,97832.111,97851.339,97879.314,97905.222,97929.546
6,86133.603,86705.884,87249.479,87768.607,88268.515,88747.194,89134.217,89236.372,88909.589,89149.959,89149.716,89191.413,89171.666,87516.102,88428.449,88501.622,88789.752,87264.762,88894.192,88551.281,91296.535,91944.913,92119.566,92298.782,92480.692,92644.928,92829.444,93000.91,93152.894,93334.968,93491.495,93685.021,93901.685,94135.413,94350.158,94604.312,94849.19,95112.735,95370.117,95620.984,95865.395,96073.123,96233.597,96484.864,96635.732,96783.635,96914.773,97034.568,97137.442,97210.633,97283.508,97336.041,97389.804,97433.367,97475.063,97508.055,97539.319,97565.902,97585.067,97613.801,97635.793,97654.507,97676.668,97701.699,97733.604,97753.89,97783.879,97811.381,97837.192
7,85640.201,86230.965,86790.165,87326.091,87840.477,88336.434,88734.203,88834.744,88483.573,88724.922,88732.388,88775.147,88753.896,87012.121,87974.555,88053.447,88358.93,86753.888,88469.321,88109.295,91004.16,91691.873,91878.662,92071.641,92266.554,92438.681,92635.629,92818.981,92978.819,93170.784,93329.168,93528.272,93753.393,93998.979,94213.946,94468.755,94715.603,94983.555,95245.996,95504.841,95755.397,95966.441,96125.384,96386.502,96537.512,96684.896,96816.537,96935.066,97037.049,97108.229,97182.08,97234.889,97289.904,97334.14,97376.886,97411.059,97443.468,97470.628,97490.204,97519.548,97542.103,97560.968,97584.202,97610.945,97644.806,97666.145,97698.054,97727.044,97754.284
8,85232.591,85837.862,86408.978,86958.033,87483.654,87993.382,88399.376,88497.942,88125.595,88366.034,88381.212,88424.657,88402.02,86587.521,87592.187,87675.853,87996.021,86323.384,88111.185,87736.685,90757.973,91479.034,91676.097,91880.82,92086.757,92265.44,92473.255,92667.019,92833.549,93034.148,93193.727,93397.455,93629.774,93885.619,94100.221,94355.103,94603.141,94874.515,95140.973,95406.564,95662.128,95875.655,96032.495,96302.322,96453.025,96599.463,96731.154,96848.052,96948.818,97017.795,97092.34,97145.235,97201.289,97245.878,97289.437,97324.737,97358.233,97385.928,97405.881,97435.659,97458.545,97477.513,97501.71,97529.914,97565.499,97587.805,97621.504,97651.823,97680.343
9,84888.179,85505.455,86086.295,86645.908,87180.619,87701.67,88114.324,88211.14,87821.026,88059.868,88082.248,88126.227,88102.445,86227.33,87267.215,87354.864,87687.346,85958.367,87806.49,87419.961,90546.909,91296.021,91501.828,91716.575,91931.917,92116.181,92333.425,92536.224,92708.47,92916.555,93077.04,93284.733,93523.228,93787.907,94002.001,94256.833,94505.735,94779.91,95049.698,95321.015,95580.811,95796.352,95951.078,96228.595,96378.933,96524.384,96656.001,96771.318,96870.88,96937.758,97012.852,97065.764,97122.685,97167.534,97211.669,97247.976,97282.507,97310.741,97331.066,97361.243,97384.347,97403.278,97428.292,97457.778,97494.815,97517.908,97553.2,97584.704,97614.325
