"age","ax","bx"
0,-3.55598695489387,1
1,-5.5860544726917,1
2,-5.88297481754357,1
3,-6.13376339963601,1
4,-6.35078966602971,1
5,-6.5448597408391,1
6,-6.72339757252182,1
7,-6.89136287648674,1
8,-7.04525144330428,1
9,-7.17613399652246,1
10,-7.26998791377313,1
11,-7.31551199247922,1
12,-7.30827428366643,1
13,-7.24913963329006,1
14,-7.14787353044327,1
15,-7.0163064652953,1
16,-6.87090738344261,1
17,-6.72889346157341,1
18,-6.6026777963431,1
19,-6.50153574321228,1
20,-6.42676669417844,1
21,-6.37754852055,1
22,-6.34769713144916,1
23,-6.33039656321398,1
24,-6.32002781474495,1
25,-6.31174392272773,1
26,-6.30225186192098,1
27,-6.28920510832739,1
28,-6.27224064476766,1
29,-6.25210672429591,1
30,-6.23114586409493,1
31,-6.21193888080315,1
32,-6.19544909745408,1
33,-6.18183518887333,1
34,-6.168475482107,1
35,-6.15105756126994,1
36,-6.12516673747611,1
37,-6.08700720328792,1
38,-6.03654847858198,1
39,-5.97623777134274,1
40,-5.91149391358161,1
41,-5.84963513591243,1
42,-5.79525102787794,1
43,-5.7504581148543,1
44,-5.71227722890979,1
45,-5.67363086360899,1
46,-5.62681918521842,1
47,-5.56430725090921,1
48,-5.48416808767395,1
49,-5.38933150863076,1
50,-5.2867740411627,1
51,-5.18782700399775,1
52,-5.10092346132318,1
53,-5.03042402771854,1
54,-4.97525278490385,1
55,-4.92822380239336,1
56,-4.88048145309661,1
57,-4.82288755095908,1
58,-4.75022262131855,1
59,-4.66129600242061,1
60,-4.55871840975947,1
61,-4.44959819063651,1
62,-4.34000192377893,1
63,-4.23418113291578,1
64,-4.13408179260488,1
65,-4.03860390010085,1
66,-3.94558742797456,1
67,-3.85220046604854,1
68,-3.75643483299004,1
69,-3.65751455835432,1
70,-3.55554398522418,1
71,-3.45167119539454,1
72,-3.34712753806547,1
73,-3.2428467696996,1
74,-3.13933808084106,1
75,-3.03644550583032,1
76,-2.93370952835706,1
77,-2.83059950432958,1
78,-2.72664486080168,1
79,-2.6217432683914,1
80,-2.51613305641962,1
81,-2.41036672056903,1
82,-2.3053755922644,1
83,-2.20204344294773,1
84,-2.10116114528313,1
85,-2.00335389590524,1
86,-1.90871895243054,1
87,-1.81688632916673,1
88,-1.72707795308506,1
89,-1.63817783506589,1
90,-1.54953127997495,1
