"cohort","gc"
1900,NA
1901,NA
1902,NA
1903,-0.0651540832457076
1904,-0.0592978374711046
1905,-0.053955664234939
1906,-0.0490306571939951
1907,-0.0451118146044681
1908,-0.0416380988560763
1909,-0.0389163479595408
1910,-0.0358998447373432
1911,-0.0336361186571702
1912,-0.0321870544746565
1913,-0.0312962796234972
1914,-0.0305246449032229
1915,-0.0298563603366555
1916,-0.0289988221499496
1917,-0.027934324818348
1918,-0.0270830989314896
1919,-0.0263639466141087
1920,-0.0258210318703067
1921,-0.0253109103060559
1922,-0.0249066442660308
1923,-0.0241869279657138
1924,-0.0229911692375434
1925,-0.0215937170191284
1926,-0.0201725811462476
1927,-0.018812693279834
1928,-0.0174878257604811
1929,-0.0160822776038205
1930,-0.0144786259051795
1931,-0.012576624851442
1932,-0.0103464239417332
1933,-0.00795723895756217
1934,-0.00580241263739606
1935,-0.00396331802053621
1936,-0.00232929427260795
1937,-0.000908746906370356
1938,0.000354941473322851
1939,0.00151913126327841
1940,0.00265898754435129
1941,0.00369655276858197
1942,0.00481747100838573
1943,0.00639628438801373
1944,0.0083317105729098
1945,0.0103842010987945
1946,0.0122802950164055
1947,0.0137526613709637
1948,0.0169511481388747
1949,0.0239678612437668
1950,0.0289471934682134
1951,0.0306613424534315
1952,0.032735571560524
1953,0.0349961560405
1954,0.0374026069467876
1955,0.0390830358882324
1956,0.0401421123229913
1957,0.0417558457519254
1958,0.0423880221969486
1959,0.0434333781379245
1960,0.045257535215789
1961,0.0461450615223466
1962,0.0478790733623086
1963,0.0503818354416774
1964,0.0524710279632194
1965,0.0543491350125929
1966,0.0561033446069466
1967,0.0578357075397095
1968,0.059455223007419
1969,0.0608812402618394
1970,0.0619743479094607
1971,0.0628447349088294
1972,0.0640715685570173
1973,0.065924792370904
1974,0.0685598190476512
1975,0.0716004050836121
1976,0.0746004820017683
1977,0.077841407788434
1978,0.0810237503641454
1979,0.0836039151608003
1980,0.0853606717094436
1981,0.086336107150945
1982,0.0866510140157748
1983,0.0864775640168614
1984,0.0866011665638582
1985,0.0881299551853598
1986,0.0923908107717011
1987,0.101186182124457
1988,0.1159768054912
1989,0.136652915677696
1990,0.121244735525428
1991,0.0890029944774243
1992,0.0545698205008441
1993,0.0208457003926802
1994,-0.00929292011220012
1995,-0.0344628836384665
1996,-0.0602867911707105
1997,-0.0853775473607837
1998,-0.109596610158722
1999,-0.13786269282163
2000,-0.175870033440547
2001,-0.208096794733855
2002,-0.245175487703822
2003,-0.284760851001779
2004,-0.330894793394491
2005,-0.356596493088002
2006,NA
2007,NA
2008,NA
