"year","kt1","kt2"
1990,-3.11697915153013,0.105572300198107
1991,-3.12451652509137,0.105655313500617
1992,-3.13172096767208,0.10586686780146
1993,-3.14009703461785,0.106097885534281
1994,-3.15366703315799,0.106443930238135
1995,-3.17789152280018,0.106568744458322
1996,-3.20097938336622,0.106665450182847
1997,-3.22784108612245,0.106463370552813
1998,-3.26270969690813,0.106470727800666
1999,-3.28357026437207,0.106024861866123
2000,-3.29161792867179,0.1059330503306
2001,-3.30688920868183,0.105672508829839
2002,-3.31729171223306,0.105313607700842
2003,-3.32187267007341,0.10505286533018
2004,-3.30100948322502,0.105178265696533
2005,-3.30826182936545,0.105063458774867
2006,-3.31350374971846,0.104947024110824
2007,-3.3174137250128,0.104787390195502
2008,-3.32021826470745,0.104617366257928
