"age","bx1","bx2","bx3"
55,1,-17.5,198.333333333333
56,1,-16.5,164.333333333333
57,1,-15.5,132.333333333333
58,1,-14.5,102.333333333333
59,1,-13.5,74.3333333333333
60,1,-12.5,48.3333333333333
61,1,-11.5,24.3333333333333
62,1,-10.5,2.33333333333333
63,1,-9.5,-17.6666666666667
64,1,-8.5,-35.6666666666667
65,1,-7.5,-51.6666666666667
66,1,-6.5,-65.6666666666667
67,1,-5.5,-77.6666666666667
68,1,-4.5,-87.6666666666667
69,1,-3.5,-95.6666666666667
70,1,-2.5,-101.666666666667
71,1,-1.5,-105.666666666667
72,1,-0.5,-107.666666666667
73,1,0.5,-107.666666666667
74,1,1.5,-105.666666666667
75,1,2.5,-101.666666666667
76,1,3.5,-95.6666666666667
77,1,4.5,-87.6666666666667
78,1,5.5,-77.6666666666667
79,1,6.5,-65.6666666666667
80,1,7.5,-51.6666666666667
81,1,8.5,-35.6666666666667
82,1,9.5,-17.6666666666667
83,1,10.5,2.33333333333333
84,1,11.5,24.3333333333333
85,1,12.5,48.3333333333333
86,1,13.5,74.3333333333333
87,1,14.5,102.333333333333
88,1,15.5,132.333333333333
89,1,16.5,164.333333333333
90,1,17.5,198.333333333333
