"cohort","gc"
1900,NA
1901,NA
1902,NA
1903,-0.0689178802266994
1904,-0.0489679266858287
1905,-0.0316175650346122
1906,-0.0168276047016414
1907,-0.00481902446793914
1908,0.00464623549280008
1909,0.0122287726299746
1910,0.018758562193586
1911,0.0235294928952285
1912,0.0267758018615796
1913,0.0288173566575791
1914,0.0299550510913953
1915,0.0303536427602151
1916,0.0303921549410706
1917,0.030031963599733
1918,0.0287448004067672
1919,0.0265277294472059
1920,0.0235319875359989
1921,0.019921700305547
1922,0.0156751678535381
1923,0.0113619977165569
1924,0.00730336607349846
1925,0.00335242542209313
1926,-0.000582217448592104
1927,-0.00456353805320342
1928,-0.0086019976455054
1929,-0.0126158110251859
1930,-0.0164841123316191
1931,-0.0200022340091424
1932,-0.0228840655198321
1933,-0.0249576711033686
1934,-0.0262198778840497
1935,-0.0263682575386173
1936,-0.0268987373244256
1937,-0.0268254997873063
1938,-0.0260073927917035
1939,-0.0243697654946036
1940,-0.0219665642945273
1941,-0.0191497260416482
1942,-0.016014996145078
1943,-0.0123671277578732
1944,-0.00840239746795102
1945,-0.00399116493285634
1946,0.00152771986190281
1947,0.00895852121247154
1948,0.0216100856666448
1949,0.0438521357082803
1950,0.0725664843802156
1951,NA
1952,NA
1953,NA
