"cohort","gc"
1900,NA
1901,NA
1902,NA
1903,-0.06327763745449
1904,-0.0451426859977319
1905,-0.0279972897591256
1906,-0.0122662608098339
1907,0.00121001545262594
1908,0.0133912624791587
1909,0.0230760977315527
1910,0.0310410491370341
1911,0.036653799468947
1912,0.039873371351842
1913,0.0410461031160276
1914,0.0404062288401635
1915,0.0388794963788603
1916,0.0369282275882162
1917,0.0347226841887898
1918,0.0320280604340182
1919,0.028977549824212
1920,0.0255407474991001
1921,0.0219002497015699
1922,0.0180141619278815
1923,0.0143620180527037
1924,0.0111569924760553
1925,0.00817599626280441
1926,0.00527755939687928
1927,0.00239420041194984
1928,-0.000453341976602398
1929,-0.00316064798115348
1930,-0.00563565051148975
1931,-0.00778889707382341
1932,-0.00956356212557266
1933,-0.0111064661307863
1934,-0.0127962497923948
1935,-0.0146883324914425
1936,-0.0166383074035704
1937,-0.0186450029704681
1938,-0.0206644408500505
1939,-0.0226493376578241
1940,-0.024567816171802
1941,-0.026521921943167
1942,-0.0283263003943271
1943,-0.0296259200645575
1944,-0.0305184839401693
1945,-0.031207826710417
1946,-0.0319105527422842
1947,-0.0328488202496156
1948,-0.0318344921570622
1949,-0.0267539521181892
1950,-0.0234560752544061
1951,-0.0231371978172344
1952,-0.0221756043583385
1953,-0.0207759695128777
1954,-0.0190105924960874
1955,-0.0177530458749079
1956,-0.0169225798448118
1957,-0.0154272621703224
1958,-0.0148779199643602
1959,-0.0139646846266276
1960,-0.0123555246477918
1961,-0.0117653561044531
1962,-0.0104311576803371
1963,-0.00841700737594437
1964,-0.00688211631230331
1965,-0.00557396895232198
1966,-0.00430586115877648
1967,-0.00285638148609046
1968,-0.00120337653314174
1969,0.000601177690983028
1970,0.00229173070932486
1971,0.00371896793333918
1972,0.00522070720336588
1973,0.00691265697182545
1974,0.00889684931085271
1975,0.0108509540128103
1976,0.0124906370489837
1977,0.0143105124577719
1978,0.0162754277686979
1979,0.0181275868544755
1980,0.01985246652138
1981,0.0215975248551338
1982,0.0233587484154479
1983,0.024734278572719
1984,0.0254296860089052
1985,0.0249812638015759
1986,0.023133654570923
1987,0.0202528336325767
1988,0.0174035025779738
1989,0.0168659826710781
1990,0.0275904115695493
1991,0.0191394911849841
1992,0.010967998615699
1993,0.00621196964340219
1994,0.00902514027985895
1995,0.0219687699728261
1996,0.0316926796665434
1997,0.0415358681500062
1998,0.0572932497116007
1999,0.0531638920936777
2000,0.028802335854444
2001,0.0129386353519483
2002,-0.0140093090301341
2003,-0.0502313145616354
2004,-0.110610791475006
2005,-0.129960168689216
2006,NA
2007,NA
2008,NA
